"Alpha - Location 1","Alpha - Location 2","Alpha - Location 3","Alpha - Location 4","Beta - Location 1","Beta - Location 2","Beta - Location 3","Beta - Location 4","Delta - Location 1","Delta - Location 2","Delta - Location 3","Delta - Location 4","Gamma - Location 1","Gamma - Location 2","Gamma - Location 3","Gamma - Location 4","Theta - Location 1","Theta - Location 2","Theta - Location 3","Theta - Location 4"
0.3843448,0.22327435,0.33910367,0.30559984,0.12995104,0.25898555,0.1356435,0.19197997,0.21285328,0.17861474,0.21962161,0.19816312,0.119928546,0.21133001,0.09592632,0.09267091,0.15292233,0.12779537,0.2097049,0.21158615
0.3820072,0.22798677,0.34021184,0.3021626,0.12669143,0.26342702,0.14076066,0.18842125,0.21797676,0.16235335,0.2233913,0.20128192,0.12197904,0.21314901,0.09347145,0.089702785,0.15134554,0.13308388,0.20216474,0.21843146
0.3786095,0.2244996,0.3428273,0.2999201,0.12230573,0.2555701,0.14700988,0.18384777,0.22283687,0.16416948,0.22628403,0.2062221,0.12465352,0.20487286,0.089723215,0.085460745,0.15159439,0.15088795,0.19415559,0.22454928
0.37543824,0.20539059,0.3517979,0.29766658,0.11723662,0.2235841,0.15288305,0.18026827,0.22729914,0.20648961,0.226971,0.21226375,0.12743811,0.17581789,0.08459381,0.080941424,0.15258788,0.18871781,0.18375422,0.22885996
0.36824203,0.16104014,0.3672528,0.2820494,0.11334997,0.17592354,0.15739794,0.18259229,0.23191072,0.29390714,0.22476561,0.22076409,0.13099241,0.1337534,0.078927346,0.07879977,0.15550488,0.23537578,0.17165633,0.23579445
0.34270245,0.119068585,0.37554085,0.2553254,0.11436891,0.13030547,0.16253287,0.19103618,0.23957492,0.39112806,0.22442017,0.22725755,0.13803543,0.09511313,0.07532791,0.07918298,0.16531827,0.26438475,0.16217819,0.2471979
0.2873397,0.09340432,0.38844237,0.23655538,0.12255001,0.09842711,0.16494475,0.19965841,0.2537531,0.46826604,0.22162843,0.22531165,0.14998682,0.06960771,0.07279457,0.07941523,0.18637036,0.27029482,0.15218987,0.25905934
0.22096483,0.084098846,0.39455813,0.21629713,0.13415569,0.079690844,0.16817166,0.20831217,0.27023885,0.5178783,0.22008924,0.22358894,0.16063204,0.055852234,0.07314588,0.0793609,0.21400858,0.2624798,0.14403509,0.27244085
0.18084356,0.07768423,0.39362678,0.20880054,0.14096321,0.07020933,0.17420517,0.21073154,0.28437302,0.5501154,0.21810403,0.22882915,0.15987971,0.050042443,0.076861955,0.077480935,0.2339405,0.2519486,0.13720207,0.27415785
0.15587299,0.07224773,0.3854021,0.20991832,0.14371794,0.065700196,0.1846965,0.20771982,0.30625567,0.56970114,0.21385026,0.24866928,0.150457,0.04850081,0.08412119,0.07620624,0.24369639,0.24385013,0.13192993,0.25748634
0.13503113,0.06868484,0.3785486,0.20282012,0.14546114,0.06323941,0.19751975,0.2061468,0.33703595,0.5808742,0.2027839,0.2846787,0.13813066,0.04847868,0.09319179,0.08009703,0.2443411,0.23872289,0.12795596,0.22625734
0.12368909,0.073336296,0.3756803,0.21036316,0.14739409,0.0608529,0.21067321,0.20470911,0.36621922,0.58391154,0.18570241,0.31239653,0.12633225,0.048014212,0.10176646,0.08938803,0.23636535,0.23388505,0.12617761,0.18314317
0.12368909,0.08394614,0.38965157,0.21036316,0.14739409,0.058478665,0.21753292,0.20470911,0.36621922,0.58179235,0.16322899,0.31239653,0.12633225,0.04678823,0.10566028,0.08938803,0.23636535,0.22899462,0.12392624,0.18314317
0.12368909,0.085516535,0.39951327,0.21036316,0.14739409,0.057329763,0.22338153,0.20470911,0.36621922,0.58483624,0.14570601,0.31239653,0.12633225,0.045604214,0.10808707,0.08938803,0.23636535,0.22671326,0.123312116,0.18314317
0.12368909,0.08492695,0.40598154,0.21036316,0.14739409,0.05720459,0.22667484,0.20470911,0.36621922,0.5879777,0.13377468,0.31239653,0.12633225,0.04457655,0.11061533,0.08938803,0.23636535,0.22531417,0.122953616,0.18314317
0.12368909,0.084720284,0.40934333,0.21036316,0.14739409,0.057842456,0.2253063,0.20470911,0.36621922,0.5895594,0.12748335,0.31239653,0.12633225,0.04400751,0.114442475,0.08938803,0.23636535,0.22387038,0.12342455,0.18314317
0.13981506,0.084902406,0.4093053,0.106752485,0.07756327,0.05897566,0.21802455,0.07827497,0.5460844,0.59029955,0.12677515,0.63693607,0.044305656,0.044280756,0.11920274,0.034785766,0.19223163,0.22154164,0.12669225,0.14325073
0.15744196,0.08793284,0.40519547,0.11647752,0.0800197,0.060449634,0.20513175,0.078285486,0.52496606,0.590153,0.13182512,0.6144908,0.04764496,0.045679383,0.12295119,0.037263226,0.18992734,0.21578518,0.13489646,0.15348297
0.17483135,0.09414936,0.39868873,0.12553139,0.08269159,0.06281372,0.18858182,0.080107026,0.49934864,0.5898197,0.14176096,0.582683,0.051830076,0.048807684,0.12424033,0.040314134,0.19129837,0.2044095,0.14672816,0.1713644
0.1899124,0.10306157,0.3926863,0.1327903,0.085161984,0.067357965,0.17139012,0.0827039,0.47386286,0.5881729,0.15461032,0.55003124,0.056479033,0.05470086,0.1231622,0.043678723,0.19458373,0.18670668,0.15815106,0.19079584
0.20285414,0.119530566,0.37912863,0.13881622,0.08704586,0.075483866,0.15948394,0.08525104,0.4506022,0.5775648,0.17007752,0.52212536,0.061205182,0.06445369,0.123330206,0.047168,0.19829261,0.16296709,0.1679797,0.20663938
0.2142636,0.14788876,0.39057744,0.14583994,0.0890026,0.08878905,0.14590965,0.087768,0.4315815,0.5484165,0.17685412,0.50083345,0.065357514,0.07924044,0.12030812,0.050142687,0.19979477,0.13566527,0.16635068,0.21541591
0.22434892,0.19047119,0.41535872,0.15906617,0.09131526,0.10755225,0.1341819,0.0903657,0.4175311,0.49352854,0.17637569,0.4818649,0.06803505,0.09887848,0.11659104,0.051838174,0.19876966,0.10956955,0.15749264,0.21686506
0.23236626,0.23809777,0.42854387,0.17160967,0.09435882,0.12904094,0.12900645,0.09406078,0.40921763,0.41983828,0.1767398,0.4666296,0.0687613,0.12003626,0.11532989,0.052600976,0.19529597,0.09298676,0.15038,0.21509898
0.23669454,0.28055704,0.4283983,0.17923114,0.09837179,0.14577167,0.12985477,0.09897466,0.40808427,0.3503993,0.1796488,0.45614743,0.06749925,0.13510963,0.11510276,0.052745476,0.18935014,0.08816237,0.14699537,0.2129013
0.24023154,0.3174927,0.46515825,0.18300423,0.102717966,0.15246344,0.12494306,0.10427077,0.4103948,0.30048424,0.16905725,0.44801387,0.06477578,0.13966812,0.105693035,0.05252294,0.1818799,0.08989151,0.13514839,0.2121882
0.23525093,0.36718637,0.49359277,0.1846621,0.10633724,0.14896856,0.123612404,0.106894016,0.41209468,0.25918967,0.15909475,0.4374337,0.061647803,0.13440555,0.09752894,0.05120923,0.18466935,0.090249866,0.12617113,0.21980095
0.23525093,0.3772711,0.49870273,0.1846621,0.10633724,0.14790526,0.12708084,0.106894016,0.41209468,0.24560358,0.15544948,0.4374337,0.061647803,0.13064107,0.093564205,0.05120923,0.18466935,0.098579004,0.12520275,0.21980095
0.23349133,0.3676998,0.48690057,0.17965364,0.114225715,0.13794722,0.13018894,0.111043856,0.3982232,0.25610015,0.15955436,0.42129886,0.06649346,0.118582316,0.09096568,0.05425856,0.18756631,0.119670525,0.13239044,0.23374507
0.22101976,0.31616622,0.4614711,0.17159125,0.12831691,0.12012255,0.1277679,0.11968315,0.38042808,0.30507168,0.17671835,0.39205348,0.07533904,0.09997868,0.086235024,0.05976825,0.19489622,0.15866087,0.1478076,0.25690386
0.21863708,0.27819243,0.42186475,0.17546314,0.14217965,0.09668541,0.11982331,0.12932186,0.35514495,0.3549469,0.21228804,0.35001004,0.08380712,0.07704835,0.07900407,0.06498037,0.2002312,0.19312692,0.16701983,0.2802246
0.22284418,0.23808895,0.37804425,0.1765806,0.15105183,0.081280194,0.10950852,0.1393723,0.3343611,0.3996253,0.2591629,0.3141768,0.088246204,0.0608543,0.07075622,0.06896351,0.20349666,0.22015125,0.1825281,0.3009068
0.22261453,0.2001097,0.34223312,0.1751459,0.15488003,0.07391373,0.10063476,0.147619,0.3295284,0.43582022,0.30407253,0.29484463,0.08820954,0.051181484,0.0635714,0.07097216,0.2047675,0.23897487,0.18948819,0.31141832
0.21665527,0.17801313,0.3198896,0.1756814,0.15669192,0.07108933,0.09523938,0.15372562,0.34058544,0.4577173,0.33763298,0.2921934,0.08504108,0.045457482,0.058505826,0.071083464,0.20102628,0.24772276,0.1887322,0.3073161
0.2092383,0.16719313,0.30970094,0.17675366,0.15851055,0.07084596,0.093610734,0.15987858,0.36013755,0.46931753,0.35763836,0.2995855,0.07933601,0.042589713,0.055372145,0.0697899,0.19277757,0.25005367,0.18367784,0.29399237
0.2005098,0.16260661,0.30719146,0.17179713,0.16146527,0.0716219,0.09498969,0.16864604,0.38632223,0.47384664,0.36665624,0.31380537,0.07090391,0.0415636,0.053344406,0.067049436,0.18079878,0.25036123,0.17781818,0.27870205
0.18931958,0.16073509,0.30696127,0.16358124,0.16438405,0.072402805,0.09810115,0.1787567,0.4159865,0.47427326,0.36949116,0.32726747,0.060203284,0.041442055,0.051348533,0.06253427,0.17010659,0.2511468,0.1740979,0.26786032
0.17471927,0.1597985,0.3055385,0.15681669,0.16639401,0.07307329,0.10183421,0.18545014,0.44608143,0.47232777,0.37012738,0.33672702,0.049327213,0.041615244,0.048833773,0.056644876,0.16347809,0.25318518,0.17366613,0.2643613
0.18081678,0.15925154,0.29763657,0.16217089,0.1754553,0.07381938,0.105547205,0.1857835,0.4347114,0.46961632,0.37284473,0.3446383,0.05616713,0.04187597,0.04627447,0.061752748,0.15284939,0.25543678,0.17769703,0.24565455
0.1978357,0.15899807,0.26822758,0.1671479,0.18894336,0.07461844,0.11031287,0.18548761,0.39148548,0.4666629,0.3864528,0.3385718,0.06965225,0.042296603,0.04513168,0.07316324,0.15208322,0.25742397,0.1898751,0.23562944
0.21964419,0.15913662,0.24047293,0.1621693,0.21262218,0.07499627,0.11197232,0.18679836,0.31303802,0.463848,0.39903486,0.32539856,0.092606835,0.042957757,0.044251647,0.09007762,0.1620888,0.25906137,0.20426825,0.23555614
0.051826533,0.1596824,0.21998218,0.08098767,0.3851708,0.07443049,0.11008741,0.24035838,0.22326006,0.4614967,0.40765527,0.3285891,0.19779608,0.04394589,0.04348663,0.14168178,0.14194654,0.26044452,0.21878852,0.20838305
0.056767605,0.15253155,0.18693393,0.084534734,0.38906258,0.07369822,0.10949865,0.23369876,0.21522765,0.46403524,0.42335695,0.31071344,0.18595946,0.0459518,0.043783553,0.13758345,0.15298271,0.2637832,0.23642692,0.23346959
0.064799845,0.14749491,0.13685372,0.08796763,0.3799732,0.07305009,0.1133562,0.22603801,0.21123195,0.46520808,0.44917077,0.29513946,0.17412059,0.049152642,0.045154814,0.13925377,0.1698744,0.26509428,0.2554645,0.25160116
0.072378255,0.15479729,0.10257661,0.09129551,0.361305,0.07375261,0.120346375,0.21848764,0.21066914,0.4583748,0.46782005,0.27972797,0.16463834,0.054109078,0.046118923,0.14779304,0.19100925,0.2589662,0.26313806,0.26269585
0.08461122,0.1664745,0.1197445,0.10622568,0.33794823,0.0785359,0.12799506,0.21016338,0.20825791,0.44632614,0.4567652,0.25983298,0.15761073,0.06280854,0.045492254,0.15848549,0.21157192,0.2458549,0.25000298,0.26529247
0.11137466,0.19027846,0.14861502,0.134656,0.3134913,0.087758146,0.14161766,0.20330873,0.1996462,0.42379987,0.43220282,0.23773059,0.1508238,0.07631843,0.04589968,0.16578668,0.22466402,0.22184508,0.23166485,0.25851798
0.14955316,0.1933259,0.16619453,0.18234085,0.29233506,0.104662344,0.16212496,0.19743903,0.18678045,0.40694565,0.40372273,0.21477021,0.14319718,0.09877191,0.048545808,0.16465563,0.22813416,0.1962942,0.21941195,0.24079427
0.19262494,0.19420238,0.18223701,0.23879184,0.27564543,0.123573035,0.18146546,0.19315583,0.17367306,0.38810903,0.37042415,0.19391185,0.1345466,0.12551226,0.052159585,0.15682994,0.22350998,0.1686033,0.21371381,0.21731055
0.22331172,0.20603406,0.18754844,0.27311805,0.26545554,0.1347867,0.19459292,0.19539416,0.16709171,0.36944613,0.3448364,0.18076843,0.12770255,0.14364503,0.056258645,0.15061837,0.21643846,0.14608806,0.21676356,0.20010096
0.2250252,0.21844435,0.18211025,0.28018308,0.2633942,0.13732934,0.20013864,0.20349663,0.17375019,0.36542872,0.33121786,0.17465301,0.12600188,0.14772311,0.060230836,0.14901496,0.21182851,0.13107449,0.22630243,0.19265231
0.21677649,0.21781741,0.17611918,0.28214732,0.2613589,0.13843416,0.1999214,0.21023287,0.18993998,0.38027182,0.32319388,0.17096801,0.12711322,0.14478712,0.06362011,0.14812301,0.20481144,0.11868949,0.23714542,0.18852878
0.21927814,0.21326068,0.17202787,0.28373697,0.25361705,0.14025111,0.197294,0.21419294,0.20782013,0.40408152,0.31686085,0.17008704,0.12755577,0.13902684,0.06673749,0.14683576,0.19172889,0.10337986,0.24707977,0.1851473
0.22277619,0.21269391,0.1706049,0.28379124,0.24513707,0.14252797,0.19466996,0.2186896,0.2230757,0.42275634,0.30915713,0.16393842,0.1257028,0.13176227,0.069706365,0.14739415,0.18330824,0.090259515,0.25586167,0.18618657
0.22493161,0.22615159,0.17102325,0.28218615,0.23731612,0.14418551,0.19299033,0.22037303,0.23715194,0.42519122,0.30055812,0.16307403,0.12338985,0.12258521,0.0726511,0.14602777,0.17721048,0.081886455,0.2627772,0.18833902
0.22906874,0.25346982,0.17199501,0.28991646,0.23170426,0.14474335,0.19184463,0.2173851,0.24321237,0.40963238,0.29393435,0.16109362,0.11972519,0.112359874,0.07542898,0.14206764,0.17628944,0.0797946,0.26679704,0.1895372
0.23235615,0.2757209,0.17415385,0.3039971,0.2279146,0.14618434,0.18957572,0.21020661,0.24327196,0.38961768,0.29192337,0.15808927,0.114591785,0.10435201,0.07738712,0.13657464,0.1818655,0.08412507,0.26695994,0.1911324
0.23436147,0.2977877,0.17804188,0.33108336,0.22382462,0.14624521,0.18521807,0.19672103,0.24357234,0.36765426,0.29451957,0.15477183,0.1084392,0.09817628,0.07802427,0.12809156,0.18980238,0.09013653,0.26419622,0.18933222
0.2264406,0.29874375,0.17964672,0.349042,0.22131044,0.14972259,0.18064152,0.18498401,0.25085726,0.3578586,0.29841793,0.15794113,0.10340292,0.09704037,0.07803003,0.12015467,0.19798878,0.09663467,0.26326382,0.18787819
0.21641013,0.29092875,0.19794817,0.35597727,0.21833092,0.15566777,0.17376098,0.17652558,0.26349196,0.35332114,0.2911467,0.16818133,0.09899288,0.09899154,0.0763602,0.11246218,0.20277414,0.1010908,0.26078397,0.18685365
0.20960373,0.28724465,0.22232899,0.36219597,0.21436965,0.16246878,0.16848822,0.16902182,0.27733746,0.34607616,0.27346468,0.18050382,0.09503671,0.101635545,0.07462003,0.10346383,0.20365246,0.10257488,0.2610981,0.18481457
0.20452675,0.28651494,0.2491272,0.3596738,0.20910218,0.1702738,0.1657828,0.16281278,0.29303765,0.3362523,0.24766508,0.19641867,0.091589145,0.104243636,0.07318959,0.09481073,0.20174426,0.10271532,0.26423535,0.18628402
0.199427,0.2871128,0.2572078,0.35568017,0.20135292,0.1783089,0.16962862,0.153505,0.31268308,0.325556,0.22450122,0.2150137,0.08881946,0.10612168,0.07389146,0.08586903,0.19771756,0.1029006,0.2747709,0.18993212
0.19308108,0.28774112,0.2457959,0.34743038,0.19018337,0.18488763,0.17913616,0.14045231,0.33859083,0.31580216,0.20726264,0.24008508,0.086775005,0.10714011,0.076266736,0.07775659,0.19136971,0.10442897,0.29153857,0.19427562
0.18589364,0.28678143,0.24543567,0.3295514,0.17644067,0.1882692,0.18578026,0.12642428,0.36784413,0.30806246,0.19117811,0.27399722,0.08524654,0.1073989,0.076390795,0.07187591,0.184575,0.10948802,0.30121517,0.19815117
0.17228052,0.28150365,0.25169134,0.2973213,0.16458763,0.18754116,0.18868788,0.11546115,0.39672604,0.30234823,0.18142721,0.31644487,0.08473861,0.107237786,0.073791765,0.069171116,0.1816672,0.12136918,0.30440181,0.20160158
0.1654121,0.2701163,0.27446246,0.26404536,0.15525752,0.1828035,0.18333195,0.10767882,0.4137279,0.2989083,0.17785504,0.3570427,0.083827995,0.10682046,0.06733925,0.06848453,0.18177447,0.14135145,0.29701132,0.20274861
0.17056073,0.2513672,0.3003413,0.2590263,0.1491911,0.17552131,0.17346095,0.09997375,0.41398668,0.2983554,0.18107724,0.37618315,0.08244686,0.10651045,0.059403,0.067297444,0.18381463,0.16824563,0.28571752,0.19751938
0.1685588,0.23474227,0.31971633,0.2537252,0.14679602,0.16580689,0.16338217,0.09388602,0.41504815,0.29973,0.18995912,0.38536116,0.07895903,0.10550973,0.052597757,0.065524735,0.190638,0.19421111,0.27434462,0.20150286
0.16601352,0.22019769,0.31948802,0.2485837,0.14303307,0.15457764,0.15863723,0.087909,0.41840294,0.30862594,0.20336653,0.39474455,0.075670905,0.10393595,0.048958786,0.06415689,0.19687957,0.21266277,0.26954943,0.20460588
0.16347247,0.20841223,0.31556612,0.24419309,0.13637011,0.14132242,0.15641105,0.08195701,0.42732316,0.32856834,0.21528488,0.40678516,0.07340235,0.1011691,0.04785524,0.062996954,0.19943193,0.22052792,0.26488268,0.20406778
0.16185106,0.19521473,0.31194785,0.24105789,0.12627918,0.12672149,0.15503988,0.07648692,0.44291073,0.35969996,0.22681603,0.4224873,0.07266571,0.09736813,0.04888514,0.061856005,0.19629334,0.22099568,0.2573111,0.1981119
0.15753031,0.17592917,0.3070633,0.23785669,0.114537925,0.11307775,0.15234435,0.07246152,0.46503028,0.39697278,0.24357887,0.4409791,0.07395642,0.09401154,0.051370747,0.06074715,0.18894506,0.22000878,0.24564272,0.18795556
0.13546403,0.14932145,0.2984932,0.22407845,0.105015695,0.10252517,0.14719117,0.0710909,0.49829894,0.4331554,0.27007684,0.46512896,0.07851298,0.092326105,0.054303367,0.060547136,0.18270835,0.22267188,0.22993542,0.17915455
0.10111212,0.117211945,0.28958216,0.19829881,0.09882902,0.09596042,0.13951789,0.07231857,0.53635323,0.46403956,0.30211043,0.49359822,0.085673146,0.09291681,0.056532748,0.06147591,0.1780325,0.22987127,0.21225676,0.17430848
0.07537397,0.086360104,0.28944477,0.17846675,0.094422475,0.09240654,0.13048166,0.0736317,0.566618,0.4877462,0.3291552,0.51694053,0.09247014,0.094845556,0.057022102,0.06208098,0.17111541,0.23864159,0.19389626,0.16888003
0.06072128,0.071919285,0.28082034,0.15476884,0.0916344,0.08936641,0.12570734,0.07552136,0.5868673,0.5000886,0.35377443,0.5441786,0.09795273,0.09568283,0.057366025,0.063430876,0.16282433,0.2429429,0.18233189,0.16210034
0.05243735,0.06538704,0.26737404,0.1320508,0.09063963,0.08673105,0.12489529,0.07764309,0.5985864,0.50742793,0.37258857,0.57421696,0.10234286,0.09566718,0.057598956,0.065902665,0.15599377,0.24478678,0.17754315,0.15018648
0.04621584,0.06103286,0.25456676,0.10689643,0.09278741,0.08496241,0.12642589,0.08162015,0.5986775,0.51351476,0.38372153,0.6059956,0.106918424,0.09518914,0.057670478,0.07081749,0.1554008,0.24530081,0.17761534,0.13467035
0.04621584,0.061774645,0.24718465,0.10689643,0.09278741,0.084666036,0.12862544,0.08162015,0.5986775,0.5153033,0.3869177,0.6059956,0.106918424,0.09457185,0.057704374,0.07081749,0.1554008,0.24368414,0.17956783,0.13467035
0.04621584,0.064362034,0.24663138,0.10689643,0.09278741,0.08692525,0.13079865,0.08162015,0.5986775,0.51422787,0.38412955,0.6059956,0.106918424,0.094918855,0.058096085,0.07081749,0.1554008,0.23956601,0.18034433,0.13467035
0.04621584,0.06827421,0.2544924,0.10689643,0.09278741,0.09205797,0.13294984,0.08162015,0.5986775,0.5104553,0.3759778,0.6059956,0.106918424,0.097043775,0.05911023,0.07081749,0.1554008,0.23216876,0.17746973,0.13467035
0.04621584,0.06915576,0.26914212,0.10689643,0.09278741,0.09994993,0.1355282,0.08162015,0.5986775,0.50686496,0.3639867,0.6059956,0.106918424,0.10178093,0.0607267,0.07081749,0.1554008,0.22224842,0.17061625,0.13467035
0.26388538,0.06891391,0.28187212,0.15133701,0.23369738,0.109092444,0.13995501,0.24632825,0.20624174,0.5024116,0.35237595,0.3045903,0.1109698,0.1081716,0.06306314,0.054373305,0.1852057,0.21141045,0.1627338,0.24337111
0.26768324,0.06617274,0.27436885,0.1620284,0.22536057,0.11820479,0.14908347,0.23561859,0.21320692,0.49571654,0.35090932,0.30991012,0.12743838,0.115484424,0.06703709,0.060537964,0.16631088,0.2044215,0.1586013,0.23190494
0.2711029,0.062322002,0.26121557,0.17354535,0.2137359,0.1268487,0.15934202,0.22102863,0.22247389,0.48385695,0.35286862,0.31983614,0.14596891,0.123277254,0.07065719,0.06791707,0.14671838,0.2036951,0.1559166,0.21767282
0.27374092,0.06876509,0.24570179,0.18264343,0.20078395,0.13519736,0.17024906,0.20678794,0.23100002,0.45910642,0.35531664,0.33263522,0.16347708,0.13064705,0.073384754,0.07461682,0.13099803,0.20628409,0.15534776,0.20331658
0.2769212,0.08590303,0.23815794,0.1858246,0.18837932,0.14523892,0.18092112,0.19708468,0.23691353,0.42112082,0.35024676,0.34484714,0.17798196,0.13758145,0.07460339,0.08036614,0.119803965,0.21015577,0.15607078,0.19187741
0.28043213,0.10414913,0.24289617,0.1886902,0.17745513,0.15925717,0.1911451,0.19148976,0.24155302,0.37718996,0.3328953,0.35265225,0.18857299,0.14467785,0.0745318,0.084453866,0.11198672,0.2147259,0.1585316,0.18271393
0.2859072,0.11972105,0.25307038,0.19144858,0.167536,0.17505805,0.20211057,0.1890718,0.24585642,0.33569172,0.3064959,0.35854998,0.19487481,0.15016767,0.07406367,0.08697725,0.10582556,0.21936151,0.16425948,0.1739524
0.29127985,0.13409494,0.26474494,0.19053124,0.1579784,0.18643412,0.21235423,0.1862001,0.25324234,0.30446967,0.2768375,0.37222195,0.19734593,0.15162143,0.07371823,0.087825015,0.10015345,0.22337984,0.17234512,0.16322172
0.2895571,0.14120977,0.26586622,0.18492654,0.14946406,0.19076662,0.22296514,0.17948303,0.26746285,0.2873444,0.2535701,0.3983877,0.1976454,0.15080108,0.07485844,0.08705919,0.095870584,0.22987816,0.1827401,0.15014353
0.2882795,0.1440929,0.26228842,0.209088,0.13656723,0.18811783,0.23166473,0.15775302,0.285906,0.2822259,0.23749188,0.41351897,0.18741336,0.1495459,0.07690963,0.0785976,0.101833925,0.23601748,0.19164534,0.14104243
