"Alpha - Location 1","Alpha - Location 2","Alpha - Location 3","Alpha - Location 4","Beta - Location 1","Beta - Location 2","Beta - Location 3","Beta - Location 4","Delta - Location 1","Delta - Location 2","Delta - Location 3","Delta - Location 4","Gamma - Location 1","Gamma - Location 2","Gamma - Location 3","Gamma - Location 4","Theta - Location 1","Theta - Location 2","Theta - Location 3","Theta - Location 4"
0.14360589,0.1537121,0.1407816,0.22481681,0.15951402,0.08649227,0.11795131,0.08574406,0.33012515,0.39679322,0.41311345,0.4342235,0.2300127,0.25958377,0.25151372,0.15257457,0.13674222,0.10341865,0.07663993,0.10264104
0.11717005,0.15150653,0.13677283,0.1999924,0.1548992,0.08481993,0.11706362,0.084295586,0.37696418,0.41156107,0.42838776,0.48215535,0.22225109,0.2443373,0.23766086,0.13557296,0.12871549,0.107775174,0.080114946,0.09798372
0.10785867,0.15220138,0.12734963,0.18112232,0.15041383,0.085144505,0.11915593,0.08653458,0.4097957,0.41773602,0.44031927,0.5152774,0.21349426,0.22857502,0.22699654,0.121799625,0.118437566,0.116343066,0.08617863,0.09526611
0.10545659,0.15345335,0.10877962,0.15784003,0.14622915,0.087620445,0.12387548,0.09107028,0.43459716,0.4177502,0.45449066,0.5425238,0.20394383,0.21334589,0.21798575,0.112427756,0.109773256,0.12783009,0.094868496,0.09613812
0.10174039,0.15457858,0.098755464,0.13841204,0.14279051,0.09136624,0.12770136,0.094905056,0.45718354,0.41723865,0.46443337,0.5631181,0.19425239,0.19876577,0.20526914,0.10560966,0.10403317,0.13805076,0.10384066,0.09795517
0.09886503,0.15707745,0.087279774,0.1365046,0.1397074,0.09516561,0.1308476,0.09562519,0.47567102,0.41835877,0.4762924,0.5692953,0.18410148,0.18523917,0.19237548,0.09980088,0.10165507,0.14415902,0.113204725,0.09877405
0.09615642,0.16045406,0.080473036,0.12896232,0.13786855,0.09902398,0.13241635,0.09739709,0.487693,0.41908088,0.4866124,0.57485753,0.1744879,0.17424975,0.17993662,0.097207904,0.10379413,0.14719133,0.12056157,0.101575136
0.09450465,0.16369963,0.075724356,0.124832906,0.13714243,0.103327,0.13311535,0.100392014,0.49660668,0.4171513,0.49686924,0.57522833,0.16505234,0.16657309,0.16976254,0.09552513,0.10669389,0.14924899,0.124528535,0.104021624
0.096059725,0.16635336,0.079235345,0.12566741,0.1370202,0.10795383,0.1324573,0.10440958,0.50370866,0.41202354,0.50293434,0.57088476,0.15489063,0.161625,0.1612337,0.09355449,0.10832078,0.15204427,0.12413935,0.10548376
0.09733987,0.16717812,0.08501277,0.1325825,0.13752349,0.112569295,0.13136917,0.1078618,0.5122722,0.40660694,0.50671685,0.56329733,0.1448906,0.15858328,0.15572937,0.09079831,0.10797388,0.15506236,0.121171825,0.10546004
0.10777566,0.16159104,0.09545329,0.1380969,0.13731791,0.1172289,0.12903398,0.110484414,0.51695794,0.40567866,0.50539446,0.5588434,0.13441603,0.15762484,0.15345757,0.088141344,0.10353245,0.15787657,0.11666073,0.10443397
0.121538356,0.14958179,0.10761486,0.14220837,0.13808288,0.121955544,0.12606855,0.11200166,0.51555306,0.40894485,0.49787682,0.5555178,0.1260691,0.15971342,0.15579039,0.08614334,0.0987566,0.15980439,0.1126494,0.10412882
0.14587948,0.15091528,0.11598743,0.14740229,0.14061995,0.12496686,0.12448903,0.11420599,0.49938744,0.4019748,0.48343456,0.5477734,0.12020429,0.16332167,0.16425642,0.08584095,0.09390883,0.15882139,0.11183256,0.104777366
0.17880905,0.14850777,0.11793765,0.15677892,0.14641903,0.1299342,0.1259833,0.119908325,0.46623194,0.3872965,0.46140662,0.5264678,0.1170796,0.17393836,0.17950782,0.088394046,0.0914604,0.16032314,0.11516461,0.108450934
0.20655705,0.1463424,0.12803216,0.17231089,0.15644084,0.13736981,0.1286072,0.12983592,0.42990574,0.35952052,0.4261575,0.49032846,0.11686197,0.1916934,0.19678076,0.094128795,0.090234384,0.16507386,0.120422386,0.11339595
0.21406667,0.14671235,0.14064339,0.18353236,0.1667834,0.14607422,0.13098127,0.13948093,0.41340777,0.32331172,0.39024538,0.4599597,0.116951905,0.21356091,0.21214335,0.099719,0.08879025,0.1703408,0.12598664,0.11730802
0.20377241,0.15171036,0.15468758,0.18613078,0.16575034,0.15251788,0.12988806,0.1354695,0.43533087,0.2948285,0.36863688,0.47186375,0.11122203,0.2316985,0.21869577,0.09599492,0.08392435,0.16924474,0.1280917,0.11054105
0.1788927,0.15297212,0.1570135,0.1690318,0.15011647,0.15462126,0.12560941,0.117040694,0.4902818,0.2910249,0.3725426,0.53338426,0.09972587,0.2407528,0.21649206,0.08239447,0.08098318,0.16062891,0.12834243,0.09814875
0.15181659,0.15092525,0.14980568,0.1358541,0.12892151,0.15283465,0.11990393,0.09798563,0.54839116,0.31043413,0.3949003,0.6092041,0.087872766,0.23943523,0.20797686,0.06800542,0.082997955,0.14637074,0.12741323,0.08895072
0.13141857,0.14838031,0.14209892,0.10714925,0.11084778,0.15041773,0.11428316,0.0850089,0.5878766,0.33530328,0.42090535,0.663449,0.07920072,0.23213178,0.19584408,0.05757123,0.09065631,0.1337669,0.12686849,0.08682162
0.12107032,0.14855587,0.13913852,0.09100004,0.09874858,0.14980537,0.110163264,0.078688465,0.6052293,0.3526791,0.44018313,0.68889356,0.073834404,0.2226432,0.18250169,0.051364575,0.10111735,0.12631647,0.1280134,0.090053335
0.11457561,0.14879583,0.13807563,0.08890178,0.09221503,0.15185276,0.10860586,0.07621755,0.6111442,0.36240008,0.4508,0.6919436,0.0708719,0.2131723,0.1700856,0.04787594,0.111193284,0.123779036,0.13243292,0.09506117
0.1124408,0.15001324,0.13828371,0.09285665,0.08914288,0.15552065,0.11002177,0.075047985,0.61069447,0.36678854,0.45256543,0.6866458,0.068819106,0.2040134,0.15932977,0.045722656,0.118902765,0.12366418,0.13979931,0.09972687
0.11161943,0.1525459,0.13952258,0.0957328,0.087920316,0.160364,0.1141868,0.07357932,0.6094881,0.36765784,0.44679126,0.68308395,0.06716073,0.19615509,0.1507162,0.04386531,0.12381137,0.12327718,0.14878315,0.10373859
0.111939974,0.1511513,0.14279316,0.09561751,0.08744871,0.16725802,0.12004927,0.07188645,0.60900617,0.36712947,0.43588972,0.6844708,0.065665364,0.19203924,0.14369659,0.041836638,0.12593979,0.12242198,0.15757127,0.10618864
0.1148365,0.14458263,0.14935517,0.09849811,0.086663485,0.17623243,0.12618738,0.069786906,0.6076731,0.36627665,0.42257363,0.6841037,0.06414081,0.19135058,0.13636297,0.03934728,0.12668608,0.12155773,0.16552082,0.10826397
0.11493202,0.14600532,0.15123253,0.10321021,0.085874945,0.18407631,0.13271709,0.067929894,0.6090018,0.3614816,0.41443738,0.68276054,0.06252481,0.18792719,0.12773785,0.036594298,0.1276664,0.120509565,0.17387515,0.10950509
0.10880435,0.14937454,0.14801873,0.103884876,0.08473848,0.19189993,0.13936293,0.066648886,0.61636496,0.3582462,0.4128897,0.6851619,0.06059592,0.17924689,0.116675645,0.03383896,0.1294963,0.121232435,0.18305299,0.110465415
0.099548504,0.1526462,0.13860714,0.10360758,0.08229526,0.20177214,0.14679876,0.06496271,0.62840074,0.3575557,0.41700175,0.6896387,0.05806215,0.1642055,0.10398837,0.031251397,0.13169335,0.12382046,0.19360399,0.11053966
0.097640224,0.15277994,0.13192308,0.102425195,0.07749683,0.21582122,0.15400593,0.06234558,0.6361606,0.35963172,0.4199768,0.69491416,0.054612115,0.14543031,0.09075762,0.029249571,0.13409024,0.12633681,0.20333657,0.111065485
0.09110875,0.14592978,0.13188672,0.10107523,0.07232135,0.2354271,0.16061263,0.0590273,0.64593816,0.36463988,0.4165157,0.6990591,0.05168759,0.12785819,0.07919593,0.028430598,0.13894415,0.12614505,0.21178901,0.11240773
0.08179243,0.16811082,0.1376461,0.101159975,0.06846347,0.24850859,0.16725506,0.05628751,0.65395904,0.35355073,0.40439144,0.69686025,0.049779486,0.1101764,0.07099145,0.029219404,0.14600557,0.119653456,0.21971597,0.11647288
0.077235155,0.20836881,0.14169253,0.101167485,0.0672879,0.25261283,0.17606017,0.055816706,0.65442234,0.3358952,0.38681233,0.68859214,0.048712853,0.09522824,0.0671374,0.03166712,0.15234172,0.10789489,0.22829756,0.12275658
0.079609014,0.25719425,0.15064454,0.10389741,0.06977357,0.2447675,0.18498546,0.057887685,0.6473491,0.32110476,0.3599548,0.67255974,0.048174422,0.083105505,0.06690525,0.03540028,0.15509385,0.09382799,0.23750992,0.13025492
0.0935688,0.29178685,0.20684642,0.11375705,0.07516175,0.23105845,0.18235673,0.06154488,0.633589,0.31908506,0.3136819,0.65133405,0.04751888,0.07559876,0.06640336,0.03970747,0.15016156,0.08247086,0.23071158,0.13365656
0.13608685,0.29966494,0.26296616,0.122154556,0.078319795,0.2174953,0.174033,0.06464356,0.60836935,0.33433145,0.28094512,0.6386805,0.044839688,0.07363485,0.06700578,0.043701995,0.13238432,0.07487345,0.21504994,0.1308194
0.1815713,0.29047373,0.2820626,0.13311338,0.0757067,0.20228527,0.16522038,0.063222535,0.5965615,0.36180463,0.2871504,0.64091116,0.040074468,0.07524339,0.0691672,0.045114465,0.106086016,0.07019297,0.1963994,0.11763843
0.19290051,0.2776653,0.27323574,0.12948439,0.06848804,0.18290095,0.15210277,0.05758892,0.62083524,0.3960418,0.3310966,0.66928303,0.034950875,0.07692677,0.069996215,0.04362155,0.08282535,0.06646519,0.17356868,0.10002211
0.17299587,0.2572302,0.24583419,0.10407488,0.06033445,0.16334851,0.13631724,0.051481288,0.6686196,0.43648195,0.39621973,0.71873313,0.030649696,0.07694411,0.06879672,0.04090228,0.067400426,0.06599522,0.15283212,0.08480841
