"Alpha - Location 1","Alpha - Location 2","Alpha - Location 3","Alpha - Location 4","Beta - Location 1","Beta - Location 2","Beta - Location 3","Beta - Location 4","Delta - Location 1","Delta - Location 2","Delta - Location 3","Delta - Location 4","Gamma - Location 1","Gamma - Location 2","Gamma - Location 3","Gamma - Location 4","Theta - Location 1","Theta - Location 2","Theta - Location 3","Theta - Location 4"
0.19537798,0.14329861,0.3352033,0.32649422,0.27473146,0.21743365,0.1890323,0.29768786,0.24691021,0.3735753,0.10166419,0.1709523,0.18538216,0.13173889,0.18317862,0.10401684,0.09759821,0.13395356,0.19092157,0.100848794
0.18027802,0.14824316,0.33683878,0.34511852,0.27656564,0.22452258,0.18152992,0.28517658,0.26290092,0.3571632,0.09918008,0.1715559,0.17532282,0.13882859,0.18713565,0.09259306,0.10493257,0.13124247,0.19531555,0.10555595
0.16572526,0.15546834,0.33428648,0.35062224,0.26632062,0.22638573,0.17524813,0.26460624,0.29590505,0.34632936,0.10427028,0.19555756,0.15984002,0.1438848,0.18822229,0.08151296,0.11220905,0.12793177,0.19797282,0.10770101
0.13960849,0.13895752,0.31977957,0.32800543,0.23480587,0.22934972,0.16706704,0.22871052,0.37357873,0.35347116,0.13287178,0.26767227,0.13384491,0.14781854,0.18540713,0.06877412,0.11816199,0.13040306,0.19487448,0.10683769
0.11064559,0.12077654,0.29311293,0.26893,0.17927776,0.22982243,0.14997384,0.17786293,0.49434376,0.36754274,0.20668109,0.39672962,0.0971121,0.14529599,0.17096391,0.05378943,0.11862079,0.13656229,0.17926821,0.10268806
0.07664013,0.10421281,0.2596846,0.20414868,0.12504855,0.22735403,0.12157895,0.12630694,0.6258733,0.38428655,0.33118337,0.5378666,0.064559326,0.13626038,0.14254129,0.039451186,0.10787867,0.14788623,0.14501178,0.09222661
0.06637604,0.0896964,0.2210075,0.15658012,0.08726934,0.21819249,0.09276106,0.090026625,0.7100655,0.4101703,0.4643702,0.64075476,0.042908423,0.12234022,0.11185636,0.02968633,0.09338072,0.15960062,0.11000489,0.0829522
0.064723454,0.08494462,0.17378274,0.12945226,0.06667592,0.19785035,0.07213067,0.06909127,0.7548339,0.45283696,0.5769961,0.70014894,0.031136401,0.10504443,0.0896785,0.024315277,0.08263038,0.15932365,0.08741198,0.07699224
0.062014725,0.07635104,0.14857134,0.11934707,0.057360142,0.17366976,0.057934154,0.058120154,0.77965677,0.5106732,0.64506733,0.7275427,0.025335902,0.08962954,0.073976904,0.021929484,0.07563248,0.14967643,0.074450254,0.07306061
0.060735654,0.07024256,0.13262205,0.11439776,0.054088444,0.15071075,0.050071318,0.052742153,0.790309,0.56571823,0.6821169,0.7397673,0.022583967,0.077385634,0.06467822,0.021413641,0.07228295,0.13594283,0.07051148,0.07167913
0.059469588,0.06420347,0.121436484,0.11198273,0.05329396,0.13305251,0.04700864,0.049342196,0.7955033,0.6095485,0.69743174,0.74586356,0.021202434,0.06863389,0.059615824,0.021735271,0.0705307,0.12456163,0.0745073,0.07107623
0.05857148,0.05777687,0.115114026,0.10924405,0.052433215,0.11967813,0.047088448,0.04605827,0.8000778,0.64611214,0.69595057,0.75192213,0.020181095,0.061901648,0.05626885,0.022203924,0.06873642,0.11453122,0.08557808,0.070571624
0.057407346,0.06674618,0.110136,0.105106376,0.050559994,0.10498472,0.047622427,0.04282381,0.8066044,0.66891485,0.69392174,0.7599898,0.019182274,0.05465178,0.052103695,0.022487978,0.06624598,0.104702465,0.09621612,0.06959202
0.057286046,0.06708504,0.1052331,0.09758826,0.047988407,0.09091087,0.045852475,0.040508702,0.81264627,0.6995144,0.7010769,0.7706489,0.018407827,0.04753623,0.04544702,0.022667727,0.063671425,0.09495345,0.1023905,0.068586424
0.05983201,0.0686395,0.08750692,0.08777893,0.045142584,0.07710969,0.041863717,0.039459553,0.81566375,0.7282125,0.73201305,0.7829459,0.017978152,0.040685765,0.037893295,0.022783149,0.06138347,0.08535254,0.100723036,0.06703247
0.059634324,0.06776221,0.0716531,0.07907885,0.042339675,0.0659708,0.036924127,0.03924275,0.8205439,0.7523489,0.7668853,0.79362285,0.01792009,0.03547152,0.031076595,0.02281633,0.059562042,0.07844657,0.09346091,0.06523924
0.059155803,0.06590572,0.06134707,0.07192395,0.03982683,0.058323167,0.032868773,0.0396195,0.8250554,0.7703544,0.7928803,0.8019,0.018108137,0.032082018,0.026315456,0.022897623,0.057853818,0.07333472,0.08658838,0.06365891
0.058687575,0.0666192,0.05498814,0.069028385,0.03818792,0.05366144,0.030421644,0.04085158,0.8281158,0.77895045,0.8105224,0.8046749,0.018588023,0.030266618,0.02351478,0.023330156,0.056420635,0.07050232,0.08055305,0.06211498
0.06134326,0.06314221,0.051660594,0.064592645,0.037676908,0.05173146,0.029479202,0.043305498,0.8274919,0.7863759,0.81943434,0.80578524,0.019580664,0.029752912,0.0220326,0.024523396,0.053907275,0.068997525,0.07739328,0.061793204
0.06506838,0.061086163,0.050520062,0.057777967,0.03918672,0.051662862,0.02960601,0.04774725,0.82378465,0.78920156,0.82217133,0.8057296,0.021724584,0.029956676,0.021355724,0.027116833,0.050235644,0.06809273,0.076346844,0.061628297
0.07402322,0.05992225,0.051018704,0.06133745,0.043666154,0.05282055,0.030648071,0.05506462,0.8085766,0.79025483,0.820041,0.7880345,0.025860306,0.030467665,0.021160614,0.03151952,0.04787376,0.06653473,0.07713162,0.06404394
0.090348646,0.060961228,0.051686533,0.07010283,0.051816754,0.05455469,0.03265582,0.06638773,0.77704763,0.7896934,0.81537414,0.75588423,0.033024415,0.030978851,0.021365095,0.0385354,0.047762543,0.06381182,0.07891839,0.06908981
0.11488479,0.064570434,0.054912187,0.08427784,0.063510604,0.056572814,0.035603497,0.08098386,0.7263802,0.786347,0.8075055,0.7108993,0.043533526,0.031442147,0.021907272,0.04785636,0.051690847,0.061067607,0.08007157,0.07598265
0.13707313,0.071003556,0.08429768,0.113881625,0.07532394,0.05878845,0.039388042,0.0928185,0.6710808,0.77875984,0.7733735,0.6547467,0.05549869,0.031883795,0.022466844,0.05618474,0.061023414,0.059564378,0.080473974,0.08236845
0.14505985,0.08066592,0.15523924,0.12538843,0.08234734,0.061079726,0.042042468,0.09981416,0.6381619,0.766397,0.702021,0.626054,0.064622596,0.032261573,0.022269888,0.062675714,0.06980833,0.059595793,0.07842741,0.086067684
0.14283638,0.088253,0.21354002,0.12782681,0.085720375,0.06331258,0.04402624,0.102514476,0.62635785,0.7543879,0.6427181,0.6148894,0.06971222,0.032669757,0.022002606,0.067463614,0.07537319,0.06137673,0.077713035,0.08730574
0.14198357,0.09276659,0.22402756,0.13053623,0.09117028,0.06549225,0.046771776,0.10437516,0.61352396,0.74401444,0.6252314,0.6051144,0.0737463,0.0332291,0.022528978,0.072218,0.07957592,0.06449764,0.08144031,0.08775623
0.15276554,0.096703656,0.20072396,0.13672192,0.101276554,0.06839744,0.0502545,0.107955985,0.5824817,0.7333506,0.63724756,0.58757174,0.07850419,0.034169964,0.023798151,0.0781132,0.08497206,0.067378394,0.08797584,0.08963718
