"Alpha - Location 1","Alpha - Location 2","Alpha - Location 3","Alpha - Location 4","Beta - Location 1","Beta - Location 2","Beta - Location 3","Beta - Location 4","Delta - Location 1","Delta - Location 2","Delta - Location 3","Delta - Location 4","Gamma - Location 1","Gamma - Location 2","Gamma - Location 3","Gamma - Location 4","Theta - Location 1","Theta - Location 2","Theta - Location 3","Theta - Location 4"
0.17436065,0.14091952,0.12610365,0.12889285,0.15249479,0.081179984,0.019295737,0.26722068,0.33876562,0.52324563,0.61820585,0.13433497,0.07478352,0.024406692,0.004912922,0.05466732,0.25959542,0.23024818,0.23148184,0.41488418
0.17714438,0.15847632,0.13318947,0.12822996,0.16154912,0.0807192,0.02058081,0.26351354,0.3353842,0.5230809,0.6146503,0.15340681,0.07876082,0.02323468,0.0051852977,0.05970937,0.2471615,0.21448894,0.22639413,0.39514032
0.18124372,0.16601285,0.1443564,0.12639055,0.17468941,0.082002684,0.022862995,0.25565615,0.31984562,0.5251285,0.6086398,0.17723992,0.08544941,0.023534471,0.005707774,0.064388186,0.23877183,0.20332152,0.21843307,0.3763252
0.18599589,0.18185991,0.15284202,0.1223043,0.18872398,0.08185304,0.026489154,0.24285579,0.29860848,0.51942796,0.6036876,0.2094503,0.09339509,0.024362264,0.006621272,0.06788865,0.23327655,0.1924968,0.21035999,0.35750097
0.2107516,0.19629343,0.14745346,0.12888044,0.18336552,0.079985835,0.031546667,0.2139222,0.27534747,0.5127221,0.60593843,0.2570884,0.0919787,0.025113462,0.008021108,0.06548304,0.23855671,0.1858852,0.20704037,0.33462593
0.2107516,0.19438824,0.13584271,0.12888044,0.18336552,0.07714595,0.036724202,0.2139222,0.27534747,0.5148,0.6093572,0.2570884,0.0919787,0.025629144,0.009608461,0.06548304,0.23855671,0.18803665,0.20846742,0.33462593
0.2107516,0.18608756,0.12263496,0.12888044,0.18336552,0.072754405,0.040303286,0.2139222,0.27534747,0.5186743,0.6098001,0.2570884,0.0919787,0.025370965,0.011079985,0.06548304,0.23855671,0.19711274,0.21618164,0.33462593
0.2107516,0.17164366,0.12732129,0.12888044,0.18336552,0.06654757,0.041357365,0.2139222,0.27534747,0.525149,0.5932858,0.2570884,0.0919787,0.024146738,0.012207773,0.06548304,0.23855671,0.21251303,0.22582778,0.33462593
0.2107516,0.15174602,0.12996499,0.12888044,0.18336552,0.05899065,0.042460967,0.2139222,0.27534747,0.53737634,0.5741901,0.2570884,0.0919787,0.022050813,0.013499496,0.06548304,0.23855671,0.2298362,0.23988447,0.33462593
0.2107516,0.13115993,0.15048033,0.12888044,0.18336552,0.051890302,0.04402585,0.2139222,0.27534747,0.55339956,0.53932506,0.2570884,0.0919787,0.019791797,0.014864241,0.06548304,0.23855671,0.24375838,0.2513045,0.33462593
0.2107516,0.11532384,0.1564761,0.11881947,0.18336552,0.046810362,0.048296303,0.20844729,0.27534747,0.56713605,0.5098181,0.27405846,0.0919787,0.018191164,0.016927764,0.06716043,0.23855671,0.25253856,0.26848176,0.33151436
0.21085158,0.10632943,0.15808144,0.10964874,0.18700884,0.043989617,0.054501668,0.20278715,0.28365108,0.57418674,0.47981098,0.29563162,0.094318286,0.017676363,0.019548925,0.06955076,0.2241702,0.25781783,0.288057,0.3223817
0.21158652,0.10354579,0.16534284,0.102260254,0.19306076,0.042994946,0.06110521,0.19802386,0.28386718,0.57383746,0.44540167,0.3174328,0.09743106,0.018324133,0.022397745,0.07242875,0.21405447,0.2612977,0.30575255,0.30985436
0.20034668,0.104101256,0.17265117,0.090572186,0.20632084,0.042911913,0.06624156,0.19496034,0.27513623,0.56756544,0.41815546,0.339956,0.104134165,0.019830797,0.024824888,0.07571829,0.21406206,0.26559058,0.31812692,0.2987932
0.17032388,0.10302696,0.17146176,0.07917426,0.22969277,0.042168964,0.06703222,0.18992296,0.25730133,0.56330055,0.4150971,0.362566,0.116209015,0.021300234,0.02577445,0.07855719,0.226473,0.2702033,0.32063448,0.28977957
0.13247092,0.09640072,0.15772037,0.07401196,0.25790897,0.03958487,0.06194678,0.17889962,0.22996822,0.569787,0.44084436,0.38496605,0.13182127,0.021650517,0.024627246,0.07944747,0.2478306,0.27257684,0.31486127,0.2826749
0.13247092,0.086006396,0.13847655,0.07401196,0.25790897,0.03565141,0.054401103,0.17889962,0.22996822,0.5852239,0.48327136,0.38496605,0.13182127,0.020821786,0.022413889,0.07944747,0.2478306,0.27229652,0.30143708,0.2826749
0.13247092,0.07633512,0.121832475,0.07401196,0.25790897,0.03175242,0.047239494,0.17889962,0.22996822,0.6031979,0.51910305,0.38496605,0.13182127,0.019615706,0.020279381,0.07944747,0.2478306,0.26909888,0.2915456,0.2826749
0.13247092,0.06855416,0.110136084,0.07401196,0.25790897,0.028962623,0.04184443,0.17889962,0.22996822,0.6191888,0.5464371,0.38496605,0.13182127,0.018730573,0.018738091,0.07944747,0.2478306,0.2645639,0.2828443,0.2826749
0.13247092,0.054331474,0.10036214,0.07401196,0.25790897,0.02763225,0.037332803,0.17889962,0.22996822,0.63656443,0.57603526,0.38496605,0.13182127,0.018495861,0.017372055,0.07944747,0.2478306,0.26297596,0.26889774,0.2826749
0.13247092,0.042139422,0.08909135,0.07401196,0.25790897,0.027513811,0.032510787,0.17889962,0.22996822,0.65050006,0.6191219,0.38496605,0.13182127,0.018610751,0.015626982,0.07944747,0.2478306,0.26123598,0.24364895,0.2826749
0.13247092,0.03135175,0.07703807,0.07401196,0.25790897,0.028182533,0.027504725,0.17889962,0.22996822,0.6625665,0.6705675,0.38496605,0.13182127,0.01886819,0.013524949,0.07944747,0.2478306,0.25903106,0.21136475,0.2826749
0.13247092,0.027321337,0.067400634,0.07401196,0.25790897,0.029102733,0.023114435,0.17889962,0.22996822,0.6708878,0.7170664,0.38496605,0.13182127,0.019056218,0.011526754,0.07944747,0.2478306,0.25363186,0.18089175,0.2826749
0.13247092,0.028583437,0.06126918,0.07401196,0.25790897,0.030117054,0.019614385,0.17889962,0.22996822,0.6769212,0.75280553,0.38496605,0.13182127,0.019273996,0.0099236965,0.07944747,0.2478306,0.24510431,0.15638722,0.2826749
0.13247092,0.030585853,0.057619203,0.07401196,0.25790897,0.031091826,0.01676072,0.17889962,0.22996822,0.6831239,0.77964866,0.38496605,0.13182127,0.019622674,0.008706313,0.07944747,0.2478306,0.23557577,0.13726513,0.2826749
0.13247092,0.032725435,0.04948607,0.07401196,0.25790897,0.031813323,0.014272506,0.17889962,0.22996822,0.68907005,0.80522716,0.38496605,0.13182127,0.019965572,0.007784899,0.07944747,0.2478306,0.22642563,0.12322939,0.2826749
0.13247092,0.034751706,0.03660725,0.07401196,0.25790897,0.032150052,0.012144049,0.17889962,0.22996822,0.69364166,0.831008,0.38496605,0.13182127,0.0200166,0.007070063,0.07944747,0.2478306,0.21943995,0.1131706,0.2826749
0.13247092,0.035266723,0.0285659,0.07401196,0.25790897,0.032075953,0.010681176,0.17889962,0.22996822,0.6969313,0.84756666,0.38496605,0.13182127,0.01955243,0.006473341,0.07944747,0.2478306,0.21617362,0.10671289,0.2826749
0.13247092,0.03502784,0.025160935,0.07401196,0.25790897,0.031940233,0.010008882,0.17889962,0.22996822,0.7023787,0.8556347,0.38496605,0.13182127,0.018657174,0.0060192547,0.07944747,0.2478306,0.21199603,0.10317625,0.2826749
