"Alpha - Location 1","Alpha - Location 2","Alpha - Location 3","Alpha - Location 4","Beta - Location 1","Beta - Location 2","Beta - Location 3","Beta - Location 4","Delta - Location 1","Delta - Location 2","Delta - Location 3","Delta - Location 4","Gamma - Location 1","Gamma - Location 2","Gamma - Location 3","Gamma - Location 4","Theta - Location 1","Theta - Location 2","Theta - Location 3","Theta - Location 4"
0.1460581,0.14776872,0.22643462,0.23179409,0.31380588,0.30863777,0.25557265,0.23165424,0.25327656,0.15686768,0.2179655,0.22169916,0.13700901,0.2577489,0.17386654,0.1911981,0.14985047,0.12897694,0.1261607,0.123654425
0.14295048,0.13844033,0.22808264,0.22722155,0.29474297,0.31018466,0.24988712,0.22931397,0.2675718,0.15865918,0.21061826,0.21981433,0.14028801,0.27056095,0.17826498,0.19644564,0.15444674,0.12215491,0.13314702,0.12720452
0.14386468,0.13467455,0.23049253,0.22694305,0.27512392,0.3055682,0.24074964,0.22595663,0.28261915,0.15701978,0.20388192,0.22149849,0.1427683,0.285538,0.18309121,0.19567195,0.15562394,0.117199495,0.1417847,0.12992987
0.14436235,0.13437708,0.24180494,0.22585033,0.2586495,0.29715624,0.22703706,0.22331294,0.29849792,0.15440448,0.19531709,0.2265361,0.14380099,0.2993771,0.18497597,0.19193003,0.15468924,0.114685066,0.15086494,0.1323706
0.14213015,0.1364099,0.25426376,0.22552471,0.2463615,0.2875652,0.21346828,0.22059622,0.31192714,0.15236028,0.18628938,0.23206486,0.14360718,0.309263,0.18425466,0.18647529,0.15597402,0.11440164,0.16172393,0.13533892
0.145742,0.14192003,0.2663174,0.22590485,0.23436622,0.27723822,0.20212565,0.21738537,0.31622058,0.15169165,0.176527,0.23677564,0.14126132,0.31418738,0.18042208,0.17989118,0.16240989,0.11496271,0.17460786,0.14004296
0.14818853,0.14769554,0.2837918,0.22976372,0.22348669,0.26629764,0.19280761,0.21274897,0.3147157,0.15369488,0.16464314,0.2396055,0.1381019,0.316761,0.17170547,0.1714097,0.17550717,0.11555096,0.18705198,0.14647213
0.14492589,0.14544183,0.291556,0.23523611,0.21517585,0.25649846,0.18968159,0.20758446,0.31262648,0.1605828,0.15536849,0.24058157,0.1354965,0.32177567,0.16260992,0.16229486,0.19177528,0.11570124,0.20078403,0.15430301
0.14192748,0.1360469,0.28951472,0.242198,0.20881845,0.24837242,0.19155002,0.2024123,0.3119106,0.17210224,0.1505073,0.23883493,0.13299635,0.3300178,0.1550899,0.1544731,0.20434712,0.11346063,0.21333808,0.16208167
0.14116466,0.1268095,0.2814475,0.24514,0.20506871,0.24182186,0.19592184,0.19928937,0.31167015,0.18454763,0.15082806,0.23499994,0.1311599,0.33926505,0.15052587,0.15112418,0.21093658,0.10755598,0.22127675,0.16944651
0.1433523,0.12735346,0.27282077,0.24511388,0.2041084,0.23674886,0.20049608,0.19782907,0.30756456,0.19216275,0.15440048,0.2296573,0.1308665,0.34602296,0.14936905,0.15232359,0.21410824,0.09771196,0.22291361,0.17507616
0.14795879,0.12897724,0.2548054,0.24418159,0.20546639,0.23618446,0.20806237,0.19700333,0.29571822,0.19222279,0.1603263,0.22388738,0.1328947,0.353885,0.15375325,0.1550164,0.21796192,0.08873054,0.22305268,0.17991129
0.15481248,0.14545527,0.23705286,0.25465026,0.20838173,0.2348369,0.21706285,0.19317031,0.2754516,0.18131676,0.16378401,0.21687606,0.13719854,0.35683468,0.160965,0.1526625,0.22415566,0.0815564,0.22113529,0.18264085
0.18348277,0.18036914,0.22595781,0.26632065,0.20706363,0.22962822,0.22574274,0.18891488,0.24465504,0.1629434,0.16288461,0.2133914,0.1387275,0.35089344,0.16783111,0.14518224,0.22607106,0.076165795,0.21758373,0.18619084
0.20830482,0.21603137,0.2197824,0.27596352,0.2069806,0.22450513,0.23392166,0.18518093,0.21743774,0.14543332,0.16067728,0.2131178,0.13898112,0.34077057,0.1723764,0.13469584,0.22829571,0.0732596,0.21324228,0.19104192
0.21645658,0.2306605,0.21620798,0.28227183,0.21097668,0.22556467,0.24072899,0.1817677,0.19815488,0.13658904,0.16096754,0.21373625,0.13875669,0.33330724,0.173752,0.12512417,0.23565517,0.07387856,0.20834348,0.19710003
0.21511747,0.23236144,0.21250848,0.2858312,0.21728972,0.23075323,0.24718669,0.17797764,0.18306862,0.13700233,0.16319522,0.21338096,0.13702628,0.32302302,0.17372379,0.11937135,0.24749792,0.07685999,0.20338583,0.20343883
0.21466061,0.2325224,0.21458153,0.28650606,0.22274946,0.23616362,0.25203374,0.17393962,0.16967556,0.14471659,0.16489814,0.21299894,0.13325687,0.3056035,0.17192604,0.118244916,0.2596575,0.080993906,0.19656055,0.20831046
0.20983052,0.23276207,0.21698748,0.28476438,0.2279901,0.24075368,0.25674573,0.17041908,0.16212979,0.1565223,0.1689851,0.21513753,0.13014506,0.2846016,0.1690493,0.119832054,0.26990452,0.08536035,0.18823242,0.20984696
0.21147999,0.2312413,0.21813026,0.2685547,0.22961374,0.24555148,0.2610569,0.17144619,0.16143176,0.16883837,0.1770607,0.22541554,0.12705392,0.26536286,0.16469851,0.12397209,0.27042058,0.08900601,0.17905362,0.21061149
0.2243323,0.22258982,0.21754315,0.24137695,0.22632,0.2533319,0.26539162,0.1758065,0.1671156,0.18012215,0.18850608,0.24394512,0.12396814,0.2521809,0.15959676,0.12901776,0.25826398,0.091775216,0.16896239,0.20985368
0.22770877,0.21657044,0.21513957,0.22043717,0.22483158,0.26121682,0.27107343,0.1785808,0.17967016,0.18741478,0.20011395,0.2639084,0.12439587,0.24199492,0.15598622,0.13253082,0.24339363,0.09280304,0.15768684,0.20454283
0.22505397,0.21872824,0.21090157,0.220246,0.22477704,0.266214,0.2791588,0.17585132,0.19361569,0.18948774,0.20926966,0.27710894,0.12743251,0.23278147,0.1556723,0.13298778,0.22912079,0.09278855,0.14499766,0.19380598
0.22491021,0.22113945,0.20741794,0.22691196,0.22407988,0.26941633,0.287801,0.17123649,0.2026813,0.18851532,0.21577929,0.285487,0.13116947,0.22688137,0.15782177,0.13275206,0.21715912,0.09404754,0.13117997,0.18361248
