"Alpha - Location 1","Alpha - Location 2","Alpha - Location 3","Alpha - Location 4","Beta - Location 1","Beta - Location 2","Beta - Location 3","Beta - Location 4","Delta - Location 1","Delta - Location 2","Delta - Location 3","Delta - Location 4","Gamma - Location 1","Gamma - Location 2","Gamma - Location 3","Gamma - Location 4","Theta - Location 1","Theta - Location 2","Theta - Location 3","Theta - Location 4"
0.16882856,0.2718438,0.16308908,0.18158531,0.28331542,0.20012236,0.08407572,0.10566775,0.18738842,0.30608508,0.55392003,0.43228534,0.23906448,0.07072779,0.039969254,0.08262195,0.121403106,0.15122098,0.15894592,0.19783963
0.12989654,0.09714612,0.09102507,0.122903265,0.10327674,0.069801204,0.08893707,0.079463474,0.57922244,0.59217554,0.61468536,0.5755877,0.06942583,0.047671378,0.03632062,0.03867862,0.11817848,0.19320577,0.16903192,0.18336695
0.1333355,0.0990623,0.09414897,0.12238133,0.10868362,0.071887694,0.09643761,0.083144516,0.57375145,0.581748,0.5875679,0.5599208,0.07183337,0.04846133,0.040002402,0.039716735,0.11239605,0.19884065,0.18184312,0.19483665
0.14600502,0.102224424,0.101630084,0.123908654,0.12096175,0.07570839,0.10801375,0.09051207,0.54813623,0.5645341,0.5467114,0.5322163,0.0777162,0.04867031,0.045674358,0.042078465,0.107180774,0.20886277,0.19797042,0.2112845
0.14600502,0.1068569,0.11191682,0.123908654,0.12096175,0.079989865,0.123012,0.09051207,0.54813623,0.5448955,0.49611208,0.5322163,0.0777162,0.04799677,0.053171147,0.042078465,0.107180774,0.22026093,0.21578798,0.2112845
0.14600502,0.11173687,0.12327978,0.123908654,0.12096175,0.08330448,0.1390534,0.09051207,0.54813623,0.52791023,0.44343373,0.5322163,0.0777162,0.046613954,0.061683387,0.042078465,0.107180774,0.23043443,0.2325497,0.2112845
0.14600502,0.115713745,0.13330534,0.123908654,0.12096175,0.084894456,0.1531006,0.09051207,0.54813623,0.51364744,0.39688206,0.5322163,0.0777162,0.04524066,0.07024746,0.042078465,0.107180774,0.24050371,0.24646454,0.2112845
0.14600502,0.11746189,0.14192088,0.123908654,0.12096175,0.08446956,0.16313705,0.09051207,0.54813623,0.5000626,0.3586441,0.5322163,0.0777162,0.044425346,0.07837888,0.042078465,0.107180774,0.2535806,0.25791907,0.2112845
0.14600502,0.11163008,0.14852057,0.123908654,0.12096175,0.082702085,0.16979739,0.09051207,0.54813623,0.49005535,0.32618546,0.5322163,0.0777162,0.04425753,0.08659349,0.042078465,0.107180774,0.27135494,0.26890308,0.2112845
0.14600502,0.10713672,0.15696086,0.123908654,0.12096175,0.07967168,0.17391206,0.09051207,0.54813623,0.48380026,0.29579145,0.5322163,0.0777162,0.0435906,0.09505663,0.042078465,0.107180774,0.28580076,0.278279,0.2112845
0.14600502,0.10114175,0.1664913,0.123908654,0.12096175,0.0775308,0.17691843,0.09051207,0.54813623,0.48791167,0.27093327,0.5322163,0.0777162,0.042375337,0.10368384,0.042078465,0.107180774,0.29104045,0.28197318,0.2112845
0.14600502,0.09690284,0.17760594,0.123908654,0.12096175,0.07755691,0.1798659,0.09051207,0.54813623,0.49917194,0.25329855,0.5322163,0.0777162,0.040979195,0.11230382,0.042078465,0.107180774,0.28538913,0.2769258,0.2112845
0.14600502,0.09494783,0.18983467,0.123908654,0.12096175,0.08006127,0.18442161,0.09051207,0.54813623,0.51196504,0.24099047,0.5322163,0.0777162,0.039858162,0.12110765,0.042078465,0.107180774,0.27316767,0.2636456,0.2112845
0.14600502,0.09340758,0.2039225,0.123908654,0.12096175,0.08423139,0.19095019,0.09051207,0.54813623,0.52165824,0.22935018,0.5322163,0.0777162,0.039152365,0.12984712,0.042078465,0.107180774,0.2615504,0.24593,0.2112845
0.14600502,0.09103231,0.22551864,0.123908654,0.12096175,0.088381365,0.19774523,0.09051207,0.54813623,0.52701735,0.21635,0.5322163,0.0777162,0.038793143,0.13677101,0.042078465,0.107180774,0.25477585,0.22361511,0.2112845
0.14600502,0.07967696,0.23950765,0.123908654,0.12096175,0.09152289,0.20738035,0.09051207,0.54813623,0.53496754,0.20518094,0.5322163,0.0777162,0.039068118,0.14343928,0.042078465,0.107180774,0.2547645,0.20449178,0.2112845
0.14600502,0.0701051,0.2371432,0.123908654,0.12096175,0.09222436,0.22078417,0.09051207,0.54813623,0.5438365,0.19763549,0.5322163,0.0777162,0.039645247,0.15110402,0.042078465,0.107180774,0.2541888,0.19333312,0.2112845
