"Alpha - Location 1","Alpha - Location 2","Alpha - Location 3","Alpha - Location 4","Beta - Location 1","Beta - Location 2","Beta - Location 3","Beta - Location 4","Delta - Location 1","Delta - Location 2","Delta - Location 3","Delta - Location 4","Gamma - Location 1","Gamma - Location 2","Gamma - Location 3","Gamma - Location 4","Theta - Location 1","Theta - Location 2","Theta - Location 3","Theta - Location 4"
0.31085858,0.18783519,0.18395512,0.3176371,0.15844537,0.11031266,0.11076852,0.15079866,0.28651848,0.43099037,0.44276446,0.20205332,0.10991477,0.06505127,0.064714275,0.05214609,0.13426277,0.20581052,0.19779764,0.27736485
0.0608024,0.106450915,0.34925273,0.28823188,0.025399098,0.04143522,0.10733109,0.21283245,0.8673325,0.6772295,0.29095447,0.20595035,0.012205637,0.013883812,0.03141177,0.057810005,0.034260314,0.16100055,0.22104996,0.23517531
0.055766877,0.092475444,0.35355318,0.27247596,0.022890873,0.036216307,0.10535771,0.21206306,0.8770948,0.71851903,0.2908883,0.21078646,0.011110675,0.01225895,0.03257738,0.057307836,0.03313679,0.14053029,0.21762343,0.24736668
0.050201077,0.08173256,0.3577113,0.2579132,0.0202102,0.032422606,0.104101636,0.20847145,0.8870309,0.7507208,0.28844115,0.21890523,0.010072639,0.011062042,0.034997627,0.056795515,0.032485206,0.12406198,0.21474832,0.2579146
0.044961967,0.074406974,0.35546678,0.24333994,0.018149922,0.030061882,0.10503893,0.20165855,0.89568615,0.7732116,0.28617635,0.23510063,0.009232798,0.010242122,0.038995493,0.055856913,0.03196919,0.11207743,0.21432243,0.26404396
0.035612814,0.069547795,0.3383204,0.22544992,0.016018214,0.02877699,0.10856192,0.19292668,0.9089855,0.7887627,0.28947917,0.26096514,0.0117633585,0.009615727,0.04444233,0.05452524,0.027620094,0.103296824,0.21919619,0.266133
0.028800549,0.06586704,0.31641832,0.2034401,0.01462184,0.028121099,0.110359326,0.1846796,0.91963416,0.801086,0.29865617,0.2893082,0.013520282,0.0090333605,0.049106024,0.053412173,0.02342317,0.095892474,0.22546016,0.26915994
0.025312264,0.062480234,0.3033986,0.17247632,0.013564716,0.027649276,0.106637605,0.18025713,0.9252753,0.81296355,0.31415364,0.3135372,0.014960202,0.008437057,0.05041125,0.0537867,0.020887485,0.08846988,0.2253989,0.27994263
0.022714643,0.06124132,0.28251982,0.1525975,0.012789723,0.02714238,0.10040483,0.17626488,0.9281522,0.82300663,0.3469356,0.32266954,0.016786171,0.007881391,0.049106058,0.05491209,0.01955723,0.08072831,0.2210337,0.293556
0.022144882,0.060323607,0.26485896,0.15016964,0.0123098325,0.026642056,0.09211512,0.17077821,0.92711604,0.83220553,0.38987112,0.31737924,0.020159787,0.0074780947,0.045410726,0.056144774,0.018269438,0.07335073,0.20774408,0.30552813
