"Alpha - Location 1","Alpha - Location 2","Alpha - Location 3","Alpha - Location 4","Beta - Location 1","Beta - Location 2","Beta - Location 3","Beta - Location 4","Delta - Location 1","Delta - Location 2","Delta - Location 3","Delta - Location 4","Gamma - Location 1","Gamma - Location 2","Gamma - Location 3","Gamma - Location 4","Theta - Location 1","Theta - Location 2","Theta - Location 3","Theta - Location 4"
0.26219276,0.110558204,0.13828117,0.29520428,0.12233789,0.11832813,0.08067194,0.12991655,0.40106997,0.57338244,0.59577394,0.39212826,0.03985339,0.046968576,0.048994184,0.031407636,0.17454599,0.15076262,0.13627876,0.15134327
0.23309216,0.1739476,0.19536304,0.175697,0.15774153,0.16714656,0.12700112,0.22010307,0.29546684,0.39051092,0.46259943,0.31372052,0.13253924,0.0669234,0.051974203,0.06619776,0.18116023,0.20147152,0.1630622,0.22428164
0.231529,0.17040887,0.20619182,0.18802442,0.15120153,0.16860093,0.13276261,0.2271068,0.30536872,0.3921231,0.45136505,0.2849267,0.121118575,0.066912554,0.053277183,0.06665023,0.19078219,0.20195454,0.15640333,0.23329185
0.23307174,0.16782288,0.21559507,0.19131055,0.14829865,0.16959123,0.14023563,0.23488212,0.30655038,0.392276,0.4403577,0.26401,0.11283721,0.06732212,0.054741494,0.06673776,0.19924201,0.20298778,0.1490701,0.24305956
0.23776692,0.16588996,0.22846673,0.19385508,0.14742644,0.1712633,0.14877062,0.24118501,0.29898828,0.38985035,0.4214104,0.25001624,0.10864326,0.06838764,0.05662321,0.0660722,0.20717509,0.20460875,0.14472903,0.24887145
0.2428891,0.16225247,0.24422088,0.20351477,0.14710099,0.17464976,0.15740202,0.24492703,0.28687185,0.38708,0.39496356,0.23942123,0.1081304,0.07029098,0.059415255,0.06506609,0.21500763,0.20572676,0.14399828,0.24707088
0.24885993,0.15474209,0.25573313,0.21114129,0.14608867,0.17927139,0.16578759,0.24956912,0.27412954,0.3882938,0.36902747,0.2328668,0.10905052,0.072740845,0.063386336,0.06530712,0.22187135,0.20495188,0.14606547,0.24111567
0.2517287,0.15851513,0.27069515,0.21895859,0.145318,0.1799243,0.17116515,0.25468552,0.26557982,0.3894955,0.34545487,0.22647077,0.10998506,0.07380579,0.067067906,0.06707316,0.22738838,0.1982593,0.14561693,0.23281197
0.24598186,0.162476,0.28529295,0.22210415,0.14602824,0.17764948,0.17400636,0.26087677,0.26387772,0.3943354,0.3274976,0.21998347,0.110681705,0.07416499,0.06978035,0.07040607,0.23343047,0.19137415,0.14342272,0.22662956
0.23846659,0.17207143,0.3038827,0.22385299,0.14676869,0.17210546,0.17334336,0.26556987,0.26526338,0.39428377,0.31251505,0.21447043,0.11055333,0.07391655,0.07082476,0.074348174,0.23894802,0.18762279,0.13943416,0.22175854
0.23987311,0.17038949,0.3168327,0.22701082,0.14594838,0.16919337,0.17122048,0.26565677,0.26359063,0.39112872,0.30368584,0.21166658,0.10889419,0.075540274,0.07135494,0.07811615,0.2416937,0.19374816,0.13690604,0.21754968
0.23915271,0.1641589,0.31505185,0.22944322,0.14622863,0.16913818,0.16962843,0.26137474,0.2620429,0.3800858,0.3052993,0.21411112,0.1081858,0.07908576,0.072944514,0.08183085,0.24438995,0.2075314,0.1370759,0.21324006
0.23357952,0.1502306,0.30029133,0.232503,0.14887066,0.17191325,0.16698456,0.2534437,0.2611127,0.3669952,0.31659362,0.21940044,0.109221786,0.08458804,0.07578321,0.08538266,0.24721536,0.22627293,0.14034729,0.20927022
0.22767529,0.1430969,0.30102572,0.24207418,0.15420151,0.17255814,0.15728596,0.24251236,0.2581726,0.35302684,0.3224102,0.22100452,0.11197356,0.08963941,0.076469675,0.087777026,0.24797705,0.24167871,0.14280844,0.20663191
0.22116981,0.13842046,0.29870927,0.26082855,0.1627972,0.17016464,0.14722948,0.23067644,0.25048313,0.34471983,0.3282325,0.21164292,0.11714441,0.093938366,0.07675766,0.08764462,0.24840546,0.25275669,0.14907111,0.20920748
0.22232643,0.13424751,0.28912643,0.28377202,0.17217377,0.16506293,0.1405917,0.21959713,0.2343787,0.34254286,0.3329683,0.19398583,0.12384681,0.09688629,0.07717457,0.084928066,0.2472743,0.26126042,0.16013902,0.21771695
0.23648545,0.12683004,0.27271912,0.28524965,0.17921653,0.1581431,0.13899927,0.21446547,0.21125908,0.3466382,0.33408317,0.1830139,0.13072163,0.09769215,0.077898875,0.08259525,0.24231729,0.2706965,0.17629957,0.23467572
0.26427305,0.13130023,0.25639495,0.2949087,0.1811413,0.14743087,0.140787,0.20364721,0.18691625,0.35005525,0.33051935,0.17731458,0.13576591,0.09382969,0.07823013,0.077914596,0.23190351,0.27738395,0.19406858,0.24621491
0.2878942,0.14354609,0.23545279,0.29500097,0.18115237,0.13498987,0.14503609,0.19229153,0.17183983,0.35426006,0.327654,0.18399207,0.13949753,0.086385295,0.07822104,0.07355399,0.2196161,0.28081867,0.21363609,0.25516146
0.29965964,0.15349059,0.21561795,0.29163894,0.18197541,0.12445212,0.14871322,0.18147,0.16806608,0.3613866,0.32695258,0.19595689,0.1420057,0.07862737,0.07697318,0.06956376,0.20829317,0.2820433,0.23174307,0.26137042
0.30015954,0.16135183,0.20992026,0.2837529,0.18483534,0.11724514,0.14805664,0.17374383,0.17076142,0.36770272,0.3247762,0.20897205,0.14363554,0.072342575,0.07323148,0.066293836,0.20060813,0.28135774,0.24401544,0.2672374
0.30040777,0.17015712,0.2075358,0.27477533,0.1876846,0.11384787,0.14570977,0.1693568,0.17198437,0.36753255,0.32451096,0.21892004,0.1440933,0.06823385,0.06853738,0.06354864,0.19582996,0.2802286,0.25370607,0.2733992
0.29799452,0.17954987,0.20769417,0.2705921,0.19086374,0.114691876,0.14309627,0.16582583,0.16927244,0.35888934,0.3225801,0.222957,0.14529967,0.06650019,0.063707724,0.061086368,0.1965696,0.28036872,0.26292172,0.27953872
0.28392032,0.19485095,0.20755896,0.26932013,0.19769722,0.118540615,0.14290118,0.16223036,0.16439052,0.34028387,0.315408,0.22150493,0.14964196,0.06645931,0.059889026,0.05970562,0.20434996,0.27986526,0.27424285,0.28723896
0.256411,0.21753675,0.20169632,0.26853266,0.21122454,0.123367034,0.14778063,0.15895493,0.15807034,0.3164568,0.30246955,0.21521743,0.15680487,0.06714121,0.057868984,0.059963986,0.21748927,0.2754982,0.29018453,0.29733098
0.2364732,0.22545509,0.19808212,0.26886964,0.22679798,0.13018124,0.15632893,0.1563755,0.14688991,0.30303657,0.28287992,0.20589875,0.16173965,0.06904191,0.05686198,0.06189965,0.22809926,0.2722852,0.30584705,0.30695647
0.24695885,0.2231531,0.1807119,0.26976687,0.23687887,0.13598047,0.16994897,0.15504336,0.12765084,0.3009842,0.2672381,0.1961426,0.15970705,0.070328265,0.057461224,0.06501079,0.2288044,0.26955396,0.3246398,0.31403637
0.2841828,0.21953532,0.15919833,0.26639056,0.23930888,0.13821946,0.18431306,0.1557102,0.10326655,0.30608782,0.2562795,0.18977955,0.15269731,0.0691623,0.058715463,0.06905444,0.22054447,0.2669951,0.34149364,0.31906524
0.31411567,0.21176705,0.16221914,0.26560673,0.24269566,0.13790427,0.19074011,0.15658656,0.08131834,0.31641334,0.24437574,0.18621682,0.14896017,0.065800436,0.058851175,0.07270282,0.21291015,0.2681149,0.34381384,0.31888705
0.3294451,0.20178914,0.19361931,0.27495527,0.24897563,0.13643669,0.1868662,0.15580893,0.06404129,0.32682136,0.23177037,0.1828995,0.1503952,0.060860228,0.057138477,0.074953295,0.2071428,0.27409258,0.33060566,0.31138298
0.33295488,0.192412,0.24258085,0.27718484,0.25663412,0.13500725,0.17483059,0.15750657,0.05337981,0.33475566,0.22211961,0.1813084,0.15563416,0.055563536,0.053645615,0.077637844,0.20139702,0.28226155,0.30682334,0.30636233
0.3362739,0.18845758,0.2882669,0.26562008,0.26025847,0.13450104,0.16002588,0.16360502,0.050172027,0.33692873,0.22140747,0.18070424,0.16015367,0.051276803,0.049209945,0.08195377,0.19314192,0.28883585,0.2810898,0.30811688
