"Alpha - Location 1","Alpha - Location 2","Alpha - Location 3","Alpha - Location 4","Beta - Location 1","Beta - Location 2","Beta - Location 3","Beta - Location 4","Delta - Location 1","Delta - Location 2","Delta - Location 3","Delta - Location 4","Gamma - Location 1","Gamma - Location 2","Gamma - Location 3","Gamma - Location 4","Theta - Location 1","Theta - Location 2","Theta - Location 3","Theta - Location 4"
0.105199814,0.14651497,0.13668784,0.10824315,0.12799916,0.26519817,0.296866,0.15880544,0.40173292,0.16416813,0.22064109,0.4263456,0.106256455,0.25143486,0.19597937,0.10649346,0.25881162,0.17268388,0.14982569,0.20011237
0.15921444,0.115444995,0.061163723,0.14112657,0.45177224,0.38560724,0.34747323,0.40719795,0.11118679,0.1853753,0.1716758,0.15087168,0.17840056,0.16193302,0.27860796,0.17307681,0.09942599,0.15163946,0.14107928,0.127727
0.16312428,0.1170795,0.06939525,0.14628999,0.45641902,0.4572756,0.38634142,0.41794708,0.11139778,0.12546428,0.13038054,0.14425777,0.17350632,0.18146728,0.2974371,0.16957961,0.09555258,0.11871335,0.11644568,0.121925525
0.18272433,0.120208606,0.08161956,0.1501393,0.44949433,0.5151511,0.41919652,0.4308371,0.11178907,0.08245304,0.095915794,0.13504004,0.16697778,0.19318026,0.3026012,0.16751625,0.0890145,0.089006975,0.10066694,0.116467305
0.18901227,0.118771456,0.10151023,0.15330555,0.444614,0.5411105,0.43834108,0.44373825,0.11681083,0.07241419,0.07465094,0.12448493,0.16521157,0.19340241,0.2924541,0.1678971,0.08435134,0.07430141,0.09304364,0.11057416
0.18662503,0.1152859,0.1083683,0.15329832,0.4404125,0.5401512,0.45377097,0.45594624,0.12346023,0.08370425,0.066907525,0.11483149,0.16697395,0.18676996,0.28129894,0.17103732,0.08252828,0.07408873,0.08965425,0.10488664
0.18313909,0.11094169,0.10719741,0.15328294,0.43523064,0.5293731,0.4661713,0.46412182,0.12763835,0.09861587,0.06635618,0.10724379,0.17043701,0.18034936,0.27422404,0.17571642,0.08355491,0.08071995,0.08605105,0.09963503
0.1818908,0.1029624,0.1047208,0.15419227,0.42965952,0.52046806,0.47449374,0.46737033,0.12777856,0.109524325,0.06892065,0.101895116,0.17448767,0.17793968,0.27110156,0.18066587,0.08618345,0.08910556,0.080763236,0.09587641
0.18214612,0.09049439,0.10210114,0.15562011,0.42533085,0.5169985,0.4807261,0.46633288,0.12520924,0.115974694,0.07150055,0.09844276,0.17847715,0.18059677,0.27089652,0.18482675,0.08883664,0.095935605,0.07477571,0.09477749
0.1782389,0.08079711,0.0998748,0.15322578,0.42500952,0.51395583,0.4863904,0.47576195,0.122542135,0.11926133,0.07235347,0.089443855,0.18480618,0.1864403,0.27225456,0.19181813,0.08940325,0.09954541,0.06912677,0.0897503
0.17693679,0.074172065,0.098438226,0.14889663,0.42269808,0.509374,0.4914312,0.4833151,0.122843534,0.121101536,0.07116157,0.08212059,0.18761085,0.19506313,0.2746034,0.19746457,0.08991075,0.10028928,0.0643656,0.08820308
