"Alpha - Location 1","Alpha - Location 2","Alpha - Location 3","Alpha - Location 4","Beta - Location 1","Beta - Location 2","Beta - Location 3","Beta - Location 4","Delta - Location 1","Delta - Location 2","Delta - Location 3","Delta - Location 4","Gamma - Location 1","Gamma - Location 2","Gamma - Location 3","Gamma - Location 4","Theta - Location 1","Theta - Location 2","Theta - Location 3","Theta - Location 4"
0.10904615,0.15932715,0.118390165,0.15025415,0.3693196,0.3561617,0.37235653,0.37795177,0.18323332,0.12804222,0.14673926,0.10767719,0.1510389,0.22056821,0.23849797,0.13611375,0.18736203,0.13590072,0.12401606,0.22800314
0.20528984,0.12046826,0.24022529,0.1941002,0.1417568,0.17507641,0.18684436,0.19625624,0.40494716,0.43614748,0.3150858,0.3421979,0.12650503,0.14376873,0.16698785,0.098697305,0.12150116,0.12453912,0.09085671,0.16874836
0.1963219,0.11887598,0.23247135,0.15604782,0.1424579,0.17798686,0.20291406,0.19851123,0.42004585,0.4325482,0.30688062,0.38010246,0.119008645,0.1485893,0.17185794,0.10430942,0.122165695,0.121999666,0.085876025,0.16102909
0.19260906,0.11648424,0.20616357,0.15068227,0.14229031,0.18368866,0.22348915,0.19369453,0.42902076,0.4280735,0.30614793,0.39718506,0.11295473,0.15344173,0.18065213,0.10711695,0.12312514,0.11831186,0.08354724,0.15132119
0.19064014,0.11588415,0.18438187,0.14494038,0.14197129,0.19443084,0.24144614,0.1909159,0.4311015,0.41673067,0.30220196,0.40412083,0.11061678,0.15928048,0.18930589,0.11050094,0.12567027,0.11367386,0.08266415,0.14952196
0.18831135,0.115480825,0.18502885,0.14190371,0.14118071,0.21157621,0.25058013,0.18903689,0.42935038,0.39595622,0.2876312,0.4011709,0.11156689,0.16828461,0.19519973,0.113119364,0.12959066,0.10870213,0.081560045,0.15476911
0.19040334,0.11665077,0.18398677,0.13760012,0.13860472,0.23301955,0.2589277,0.18779425,0.42462152,0.3661439,0.2712703,0.39560667,0.11339211,0.180975,0.20445625,0.11471187,0.13297832,0.103210755,0.08135894,0.16428709
0.18663408,0.12155435,0.18464994,0.13703658,0.13740309,0.25391346,0.26694527,0.18575713,0.42309093,0.33063263,0.25355983,0.38982722,0.11606403,0.19574374,0.21445058,0.11420543,0.13680789,0.0981558,0.08039436,0.17317365
0.18485685,0.12720783,0.17763934,0.13833247,0.1383953,0.27020392,0.2786968,0.18436429,0.41860777,0.2976755,0.23955697,0.38508183,0.11801011,0.2099513,0.22531669,0.11206413,0.14012998,0.09496145,0.078790195,0.18015727
0.18496242,0.12987714,0.16882782,0.13916248,0.14328304,0.27902737,0.2933398,0.18620485,0.4088785,0.2761088,0.22791278,0.38123614,0.119925424,0.22047514,0.23458067,0.10976212,0.14295061,0.09451154,0.07533896,0.18363442
0.18054402,0.12287461,0.16324367,0.14303444,0.15368856,0.2834312,0.30912936,0.19168384,0.39574298,0.2690836,0.21603987,0.37326407,0.12338507,0.22810046,0.24118441,0.10750352,0.14663938,0.09651011,0.0704027,0.18451414
0.16720888,0.105179526,0.16107115,0.14683843,0.1681615,0.28798437,0.32461768,0.19976284,0.38530374,0.27450055,0.20301393,0.36207515,0.12853336,0.23451966,0.245881,0.10567018,0.15079252,0.09781588,0.06541623,0.18565342
0.14977826,0.0920664,0.1623038,0.14653803,0.18203676,0.29239792,0.33721706,0.20723027,0.38020712,0.2826283,0.1905372,0.35160017,0.13309304,0.23734856,0.24864808,0.10419036,0.15488482,0.0955588,0.061293866,0.19044118
0.13535537,0.09936672,0.16441444,0.14064668,0.19118424,0.29426837,0.34539196,0.2120726,0.3805594,0.28331876,0.18020734,0.3462932,0.13513884,0.23339356,0.2510417,0.103556335,0.15776213,0.089652576,0.058944535,0.19743118
0.12568896,0.10388253,0.1668679,0.13827765,0.19595125,0.30075204,0.34866202,0.21418388,0.38268065,0.28107283,0.171584,0.3390414,0.13526207,0.229537,0.2547913,0.103205845,0.16041707,0.08475559,0.058094826,0.2052912
0.12251178,0.11396,0.16544412,0.13935669,0.1990908,0.30672848,0.34887627,0.21791615,0.3804199,0.27174395,0.16484044,0.3278363,0.1348123,0.22521311,0.26246968,0.10259691,0.16316521,0.082354486,0.05836949,0.21229395
0.12439877,0.12319559,0.15852906,0.14272389,0.20380262,0.31185657,0.3467053,0.22572833,0.3705268,0.25869074,0.16031173,0.31279296,0.13510619,0.2234398,0.27398637,0.1003999,0.16616565,0.08281728,0.060467537,0.21835493
0.12901522,0.13192043,0.1553147,0.14347398,0.21133146,0.31430745,0.33921358,0.23789106,0.354414,0.24480091,0.15737593,0.2980509,0.13624324,0.22432789,0.28353953,0.09636733,0.1689961,0.08464332,0.06455624,0.2242167
0.131737,0.1378394,0.15106994,0.14132054,0.22195745,0.3144064,0.33035856,0.25151277,0.33835363,0.23318833,0.15819995,0.28782907,0.13741052,0.22734022,0.29005575,0.09150805,0.17054142,0.08722567,0.07031577,0.22782955
0.13594788,0.1428395,0.14496073,0.13291268,0.2343329,0.31221658,0.3234424,0.26676416,0.32285398,0.2241918,0.16199757,0.28283113,0.1366849,0.2308968,0.29321557,0.088432066,0.17018035,0.08985531,0.07638371,0.22905993
0.14172697,0.1503408,0.13420361,0.1271031,0.2490777,0.30892834,0.32135254,0.28165245,0.30675796,0.21465968,0.1686259,0.27792618,0.13418277,0.233728,0.29457366,0.08783728,0.16825461,0.09234318,0.08124427,0.22548097
0.15120344,0.15877996,0.116103575,0.12751628,0.26526034,0.30715448,0.32384172,0.2946001,0.28851983,0.20316277,0.17979676,0.26958787,0.13032179,0.23557355,0.2949809,0.0893508,0.1646946,0.09532925,0.08527704,0.21894492
0.16151744,0.16523884,0.091678746,0.13532355,0.2794858,0.30806217,0.3278028,0.3016968,0.27139533,0.19193916,0.1991965,0.25971547,0.1264039,0.23526905,0.293252,0.09130036,0.16119753,0.09949076,0.088069946,0.2119638
0.17449453,0.1674806,0.06480164,0.13937677,0.28604794,0.31052783,0.33012962,0.30332807,0.25905004,0.18293104,0.22711265,0.2559052,0.12292159,0.23234661,0.28858212,0.093355976,0.1574859,0.10671393,0.08937396,0.20803398
0.18802771,0.17042735,0.05694745,0.13901226,0.2840901,0.31059432,0.32448807,0.29950964,0.25105223,0.17602813,0.25243187,0.25780728,0.12079979,0.22660322,0.2780606,0.09528724,0.15603016,0.116346985,0.088072024,0.20838358
0.20247367,0.18825075,0.05754148,0.1472254,0.27543736,0.30226776,0.31753847,0.28924632,0.24460033,0.16786627,0.26980722,0.25958025,0.12040818,0.21694387,0.26946548,0.09670268,0.15708049,0.12467135,0.08564736,0.20724535
0.2121295,0.20973508,0.06230025,0.1557159,0.26577473,0.29024553,0.3120354,0.28086853,0.23851751,0.16025451,0.27592325,0.25973487,0.123350136,0.20881036,0.26672307,0.09998492,0.16022812,0.13095452,0.08301801,0.2036958
