"Alpha - Location 1","Alpha - Location 2","Alpha - Location 3","Alpha - Location 4","Beta - Location 1","Beta - Location 2","Beta - Location 3","Beta - Location 4","Delta - Location 1","Delta - Location 2","Delta - Location 3","Delta - Location 4","Gamma - Location 1","Gamma - Location 2","Gamma - Location 3","Gamma - Location 4","Theta - Location 1","Theta - Location 2","Theta - Location 3","Theta - Location 4"
0.4103376,0.13279504,0.07200877,0.26686016,0.21979097,0.19107549,0.07684249,0.4594355,0.12344825,0.3831309,0.68213934,0.070090875,0.112083115,0.124759994,0.057827327,0.1116199,0.13434009,0.16823858,0.111182064,0.09199358
0.40598866,0.12975296,0.06707598,0.25368372,0.20911884,0.18017489,0.06945884,0.47589856,0.13410369,0.3970309,0.709012,0.07510338,0.11516325,0.12070243,0.048923276,0.11356788,0.13562556,0.17233883,0.10552996,0.08174646
0.40519464,0.12693897,0.06628085,0.24720277,0.20049012,0.1666199,0.06560872,0.48549017,0.13973045,0.41511208,0.72062886,0.076880686,0.11790806,0.11785851,0.042377446,0.114863135,0.13667671,0.17347056,0.105104126,0.07556325
0.40646353,0.12508492,0.06831003,0.24589916,0.19512475,0.15312481,0.06342489,0.49081913,0.14229146,0.43284598,0.7235649,0.07667691,0.119544394,0.11581495,0.037000824,0.11452723,0.13657586,0.17312934,0.107699335,0.07207755
0.40873814,0.1246192,0.066195555,0.24717848,0.19296102,0.14245898,0.062131576,0.49457467,0.14339638,0.44581094,0.7268517,0.07560811,0.1200468,0.11412085,0.032735363,0.11312826,0.13485765,0.17299002,0.11208581,0.0695105
0.41178384,0.12592469,0.065411456,0.25422105,0.19302869,0.13605186,0.06064133,0.49468273,0.14340582,0.45141962,0.7283465,0.073231734,0.11992657,0.11320666,0.029514987,0.111352,0.13185506,0.17339717,0.11608568,0.0665125
0.41469407,0.12942567,0.07470714,0.26374483,0.19395353,0.1343392,0.057826985,0.49241063,0.14281358,0.44898438,0.72404736,0.069661535,0.121634066,0.11396104,0.026941013,0.1110408,0.12690477,0.1732897,0.11647747,0.0631422
0.415907,0.13510479,0.07618997,0.2625105,0.19500665,0.13648894,0.054260485,0.5004356,0.14641571,0.43928015,0.7302431,0.06813724,0.122903526,0.117820054,0.025087928,0.10891997,0.11976712,0.17130604,0.11421851,0.05999672
0.4108907,0.15006605,0.07209736,0.2634429,0.19755805,0.13985774,0.049623948,0.50123626,0.15729874,0.41851628,0.746695,0.06752,0.12291202,0.124621406,0.023498649,0.11226619,0.11134048,0.16693851,0.108085044,0.055534635
0.39425528,0.16866283,0.06717739,0.28866097,0.20262675,0.14286314,0.044686906,0.4810255,0.17952378,0.39517793,0.76668656,0.06620939,0.12001358,0.13321461,0.022015976,0.11589705,0.10358062,0.16008148,0.09943315,0.048207097
0.37069196,0.17035788,0.06475376,0.2953905,0.20810528,0.14478807,0.040344443,0.47165537,0.20822199,0.38827163,0.7843339,0.067741424,0.113338836,0.14241804,0.020671986,0.12392796,0.09964194,0.15416436,0.08989593,0.041284755
0.34165767,0.1654226,0.06280207,0.30148715,0.21366173,0.14159596,0.03744508,0.46328744,0.2371922,0.4022448,0.7976663,0.06896525,0.10603794,0.14642324,0.019654853,0.1317899,0.101450466,0.14431341,0.08243165,0.03447026
0.3063682,0.15148811,0.060909066,0.3012944,0.21932709,0.13554372,0.03655612,0.4599796,0.2655948,0.43523613,0.8062981,0.069560826,0.10062279,0.14621072,0.019090656,0.14005269,0.1080871,0.13152136,0.07714605,0.029112518
0.28127173,0.1385289,0.061228145,0.30071267,0.22040679,0.12845129,0.03748689,0.45721653,0.28997132,0.47144014,0.808604,0.068447545,0.0951325,0.14385915,0.019078951,0.14782622,0.113217674,0.11772053,0.073602,0.025797023
0.25228247,0.13268009,0.063632876,0.30380493,0.22184297,0.121015966,0.03995506,0.4512153,0.31856927,0.5017565,0.80482817,0.06592475,0.09060089,0.1402934,0.01963357,0.15451835,0.116704404,0.104254074,0.07195033,0.024536673
0.23416276,0.13230817,0.06728586,0.30894718,0.22033638,0.11432562,0.04307597,0.4427065,0.34509617,0.52451605,0.7990512,0.0632463,0.084284864,0.1357902,0.020478865,0.16037382,0.116119824,0.09305999,0.07010808,0.024726221
0.22570182,0.13243465,0.07096917,0.31345797,0.21791463,0.10978229,0.045899548,0.4336726,0.3674721,0.541563,0.7937289,0.062116064,0.07694074,0.13053516,0.021230994,0.16575609,0.11197072,0.08568493,0.06817141,0.024997272
0.22137187,0.13733861,0.07388749,0.31483674,0.21657398,0.10726597,0.047776666,0.4260236,0.3802023,0.5487942,0.7916862,0.06345245,0.07058276,0.12437814,0.021595994,0.17083229,0.11126909,0.08222309,0.06505364,0.02485491
0.21769911,0.13856323,0.0762424,0.31290293,0.21532018,0.107162476,0.04892405,0.42090923,0.38789427,0.55143505,0.7926473,0.06670375,0.0656997,0.119058944,0.021640146,0.17553657,0.113386735,0.08378031,0.060546078,0.023947503
0.21296604,0.1416698,0.07481813,0.30914363,0.21187901,0.10630663,0.050121248,0.418699,0.39647797,0.5520849,0.7980199,0.07059595,0.061558675,0.11331313,0.021721432,0.17896414,0.11711832,0.08662552,0.05531933,0.0225973
0.20709303,0.14127417,0.07459103,0.3056961,0.2067768,0.10332544,0.05142116,0.41888002,0.40674496,0.56031257,0.8025812,0.07356424,0.05755499,0.10691001,0.021903425,0.18042247,0.12183022,0.088177815,0.049503215,0.021437174
0.2077992,0.14017734,0.07884662,0.3132597,0.19915208,0.098889455,0.052790865,0.41432026,0.4141626,0.5752177,0.80185777,0.07451214,0.052888706,0.09979678,0.022269873,0.17731692,0.12599741,0.08591869,0.044234898,0.020590985
0.22322485,0.14167887,0.08039986,0.30832335,0.18447076,0.095259175,0.055137847,0.4127278,0.41155514,0.58951735,0.80078286,0.07822576,0.046514634,0.092422366,0.023236673,0.18048012,0.1342346,0.081122205,0.04044274,0.020242948
0.21779417,0.14357094,0.079496235,0.30098423,0.18028264,0.09412928,0.059872814,0.4152204,0.4201227,0.6002499,0.7958875,0.08216248,0.04340431,0.08527665,0.025017781,0.18187493,0.13839616,0.07677324,0.039725713,0.019757945
0.2160478,0.1428994,0.08635762,0.29858866,0.17262486,0.095204994,0.067388,0.41874462,0.42695665,0.60931253,0.77796924,0.084302776,0.040177714,0.078218065,0.0273945,0.17935745,0.144193,0.074365005,0.040890623,0.019006476
0.21897763,0.13352628,0.09063672,0.2746236,0.16090429,0.09818008,0.078877665,0.43822926,0.43272826,0.6236087,0.7554447,0.08739444,0.037310943,0.07195414,0.030436324,0.1807017,0.15007886,0.07273078,0.044604577,0.019051014
0.21850282,0.11753248,0.104930796,0.23510273,0.14775081,0.10183202,0.09162129,0.46757326,0.44284016,0.64221007,0.7228806,0.0920604,0.03542325,0.067248784,0.033192564,0.18547416,0.15548298,0.07117665,0.047374766,0.01978948
0.19509709,0.09368086,0.11674971,0.19805993,0.1393305,0.10654513,0.10147412,0.49363613,0.46751565,0.6646108,0.6990237,0.09759778,0.035350986,0.06491226,0.035521086,0.18996635,0.16270576,0.07025093,0.047231376,0.020739792
0.16891499,0.083917655,0.119886026,0.18100825,0.13504373,0.111178696,0.10553998,0.50475174,0.4900416,0.67059165,0.6905636,0.10299753,0.03607977,0.063506834,0.037266485,0.1901051,0.16991991,0.07080515,0.046743914,0.021137405
0.16606703,0.08217701,0.116480246,0.17860633,0.13313362,0.11852408,0.10306184,0.50626373,0.48890406,0.66193205,0.69386095,0.1076964,0.03655533,0.063318476,0.038244806,0.18643895,0.17533995,0.07404836,0.048352167,0.020994572
0.16831689,0.08264536,0.107875414,0.17657252,0.13542496,0.12924841,0.09622694,0.5097676,0.47386858,0.6417279,0.70523953,0.11220798,0.03753042,0.06396523,0.038272697,0.18153064,0.18485916,0.082413055,0.05238542,0.019921292
0.17013536,0.08255418,0.09787242,0.17481752,0.13828644,0.1407194,0.08771938,0.5174331,0.45111215,0.61998,0.718945,0.11454184,0.038605567,0.06461213,0.037486307,0.17442532,0.20186047,0.09213433,0.057976846,0.0187822
0.16808984,0.09118855,0.08888655,0.17435752,0.13862377,0.1482098,0.079959035,0.5312212,0.44290903,0.5978716,0.7315838,0.11319668,0.038244914,0.063729785,0.03657612,0.16434887,0.21213244,0.09900025,0.0629945,0.016875748
0.16183591,0.098092586,0.08182627,0.17435752,0.13576551,0.15205869,0.074124284,0.5312212,0.4497934,0.58547884,0.7406075,0.11319668,0.035787884,0.06245717,0.036179595,0.16434887,0.2168173,0.10191272,0.06726234,0.016875748
0.16183591,0.10193085,0.07708053,0.17435752,0.13576551,0.15412977,0.07055622,0.5312212,0.4497934,0.57998294,0.74444515,0.11319668,0.035787884,0.062031426,0.036443364,0.16434887,0.2168173,0.10192499,0.07147473,0.016875748
