"Alpha - Location 1","Alpha - Location 2","Alpha - Location 3","Alpha - Location 4","Beta - Location 1","Beta - Location 2","Beta - Location 3","Beta - Location 4","Delta - Location 1","Delta - Location 2","Delta - Location 3","Delta - Location 4","Gamma - Location 1","Gamma - Location 2","Gamma - Location 3","Gamma - Location 4","Theta - Location 1","Theta - Location 2","Theta - Location 3","Theta - Location 4"
0.09009625,0.12471512,0.15058401,0.13809565,0.035727,0.2162137,0.04126797,0.2078046,0.5647638,0.40357718,0.57273185,0.2746375,0.024307506,0.20417395,0.05937638,0.24967088,0.28510547,0.051320054,0.17603979,0.1297914
0.2563276,0.12580575,0.15638736,0.13809565,0.37580192,0.2266268,0.040973727,0.2078046,0.10460104,0.4032434,0.56309545,0.2746375,0.15086707,0.19749677,0.049269475,0.24967088,0.112402335,0.04682729,0.19027399,0.1297914
0.3258089,0.12590371,0.14639105,0.13809565,0.35079044,0.26062068,0.044719327,0.2078046,0.09262318,0.36861292,0.555596,0.2746375,0.13282369,0.20173393,0.040483255,0.24967088,0.09795376,0.043128747,0.21281035,0.1297914
0.3861221,0.14146936,0.12845093,0.42634553,0.32958043,0.3158458,0.053944007,0.37287995,0.07894249,0.2795263,0.5462822,0.020457175,0.11905416,0.22070514,0.03547393,0.15570448,0.08630083,0.042453427,0.23584893,0.024612844
0.43331543,0.17726141,0.113367915,0.44919714,0.31213245,0.3636469,0.06741038,0.3773165,0.06712637,0.17169322,0.5436168,0.015847651,0.11033302,0.24367923,0.0364811,0.13805883,0.077092744,0.043719247,0.23912385,0.019579874
0.4508873,0.1925434,0.10309624,0.45626712,0.3079152,0.38900542,0.08290528,0.38334793,0.060359195,0.11091787,0.55178493,0.013162347,0.10896513,0.26187244,0.042374425,0.13073564,0.07187318,0.045660857,0.2198391,0.016486999
0.45109627,0.19215624,0.09404275,0.4516997,0.3103468,0.3952653,0.102565035,0.39099205,0.05865431,0.09415699,0.56074405,0.011833499,0.11127012,0.27202383,0.051907662,0.13056608,0.06863249,0.046397652,0.19074051,0.014908676
0.44680268,0.1964802,0.08561862,0.4580378,0.3113481,0.38698995,0.13259786,0.38545278,0.062199704,0.09426466,0.5557038,0.01087883,0.11375471,0.27601156,0.066744894,0.13178773,0.06589482,0.04625364,0.1593348,0.013842872
0.44099346,0.20339265,0.11413048,0.49256366,0.30854878,0.37228754,0.1699473,0.355767,0.07116685,0.09852501,0.4959664,0.009845141,0.11565411,0.27975073,0.08428861,0.12921481,0.06363681,0.04604406,0.13566722,0.012609352
0.43567994,0.20962389,0.1540421,0.5168087,0.30022624,0.35447514,0.20928945,0.33164984,0.08479499,0.10319069,0.41646504,0.009381396,0.11706803,0.28590584,0.10108727,0.13003546,0.062230792,0.046804436,0.11911614,0.012124622
