"Alpha - Location 1","Alpha - Location 2","Alpha - Location 3","Alpha - Location 4","Beta - Location 1","Beta - Location 2","Beta - Location 3","Beta - Location 4","Delta - Location 1","Delta - Location 2","Delta - Location 3","Delta - Location 4","Gamma - Location 1","Gamma - Location 2","Gamma - Location 3","Gamma - Location 4","Theta - Location 1","Theta - Location 2","Theta - Location 3","Theta - Location 4"
0.2537119,0.121781774,0.22505932,0.304761,0.093986034,0.108492516,0.17081931,0.31083047,0.3002365,0.46402457,0.2858063,0.055714916,0.07216498,0.07317822,0.15007845,0.2847252,0.27990058,0.23252293,0.16823664,0.043968413
0.27918968,0.17290574,0.25058106,0.32062677,0.08236404,0.11502531,0.17003931,0.29622152,0.3111149,0.43941066,0.273398,0.054612722,0.059966378,0.07134978,0.14870504,0.28488544,0.26736498,0.20130852,0.15727659,0.04365354
0.29467717,0.21456847,0.25450835,0.32062677,0.07507433,0.12538765,0.17419843,0.29622152,0.32962355,0.41105515,0.27358752,0.054612722,0.05229134,0.07546638,0.15285209,0.28488544,0.24833363,0.17352237,0.1448536,0.04365354
0.29467717,0.23601897,0.23517896,0.32062677,0.07507433,0.13978352,0.18404919,0.29622152,0.32962355,0.38783112,0.2820046,0.054612722,0.05229134,0.086632706,0.16494083,0.28488544,0.24833363,0.14973368,0.1338264,0.04365354
0.29467717,0.22883481,0.20896369,0.32062677,0.07507433,0.15417156,0.19262028,0.29622152,0.32962355,0.3866945,0.2937625,0.054612722,0.05229134,0.10174012,0.17938057,0.28488544,0.24833363,0.12855902,0.12527297,0.04365354
0.29293332,0.20408137,0.18366165,0.32062677,0.07509637,0.16064051,0.1966419,0.29622152,0.32997665,0.4151932,0.30450556,0.054612722,0.051011052,0.11326541,0.19129606,0.28488544,0.25098264,0.10681953,0.12389482,0.04365354
0.28466767,0.177801,0.16374046,0.32062677,0.074722685,0.15728994,0.19675255,0.29622152,0.33797842,0.46212974,0.31152946,0.054612722,0.049305376,0.11669845,0.19850454,0.28488544,0.25332588,0.086080864,0.129473,0.04365354
0.27203396,0.1561092,0.15147012,0.32062677,0.074306935,0.15027244,0.19507444,0.29622152,0.34956163,0.509048,0.3128861,0.054612722,0.04758522,0.11486553,0.20184,0.28488544,0.25651225,0.06970487,0.13872935,0.04365354
0.2572373,0.1416251,0.14501317,0.3087143,0.07364439,0.14538501,0.19436894,0.3103584,0.36100736,0.54269695,0.3088008,0.049699523,0.046055842,0.11221656,0.20333484,0.2912238,0.2620551,0.05807635,0.14848226,0.040003974
0.24105051,0.13356535,0.14205648,0.28880763,0.07298741,0.14449546,0.19599934,0.32611597,0.3713711,0.5596667,0.30169198,0.04435004,0.044678796,0.111276425,0.20467377,0.3027798,0.26991218,0.05099606,0.15557845,0.03794656
0.22332036,0.12981568,0.14050388,0.28089172,0.07231312,0.14667758,0.19969772,0.33169,0.38117698,0.5642154,0.29462758,0.039219934,0.043363433,0.11223879,0.20596354,0.31115168,0.2798261,0.047052514,0.15920725,0.03704664
0.20371649,0.1282259,0.13932477,0.27365318,0.07167819,0.1500287,0.20455186,0.32982504,0.3928059,0.56293964,0.28991225,0.037192382,0.041919727,0.11393776,0.20638238,0.3207298,0.2898797,0.044868004,0.15982872,0.038599614
0.18234332,0.12770079,0.13844685,0.26062566,0.070721105,0.15306984,0.20926481,0.32317287,0.40915105,0.55976266,0.28678364,0.039589453,0.040071182,0.11560501,0.20596021,0.33397543,0.29771334,0.043861665,0.15954447,0.04263657
0.16077809,0.12796523,0.13856344,0.26062566,0.069416724,0.15498132,0.21269564,0.32317287,0.4329505,0.55685675,0.28519556,0.039589453,0.038039546,0.116868764,0.20512217,0.33397543,0.29881513,0.04332797,0.15842317,0.04263657
0.16077809,0.12919351,0.14051718,0.26062566,0.069416724,0.15551454,0.21404658,0.32317287,0.4329505,0.5542876,0.2842463,0.039589453,0.038039546,0.11782883,0.20450646,0.33397543,0.29881513,0.043175515,0.15668349,0.04263657
0.16077809,0.13155422,0.14323017,0.26062566,0.069416724,0.154543,0.21356362,0.32317287,0.4329505,0.5518239,0.2833224,0.039589453,0.038039546,0.118606314,0.20499872,0.33397543,0.29881513,0.043472555,0.1548851,0.04263657
0.16077809,0.13471243,0.1446399,0.26062566,0.069416724,0.1515027,0.21181753,0.32317287,0.4329505,0.55091196,0.28160655,0.039589453,0.038039546,0.11896771,0.20696954,0.33397543,0.29881513,0.043905206,0.15496647,0.04263657
0.16077809,0.13307728,0.14608882,0.26062566,0.069416724,0.14655647,0.20898643,0.32317287,0.4329505,0.55783224,0.27814305,0.039589453,0.038039546,0.118629694,0.2087371,0.33397543,0.29881513,0.043904305,0.15804458,0.04263657
0.16077809,0.12547661,0.1552242,0.26062566,0.069416724,0.14067945,0.20453401,0.32317287,0.4329505,0.573886,0.2696758,0.039589453,0.038039546,0.117042504,0.20708396,0.33397543,0.29881513,0.042915463,0.16348204,0.04263657
0.2345638,0.1149743,0.171904,0.26062566,0.35556996,0.13659216,0.20209935,0.32317287,0.044651326,0.5925275,0.25254318,0.039589453,0.14948303,0.11528367,0.2023468,0.33397543,0.21573189,0.04062236,0.17110668,0.04263657
0.24494788,0.105845,0.19207162,0.2142784,0.3401304,0.13884847,0.2075446,0.23187926,0.04927303,0.6004619,0.2258479,0.030082427,0.14496976,0.116826765,0.19773886,0.51188225,0.22067894,0.038017888,0.17679702,0.011877658
0.25202283,0.097672954,0.21841723,0.21753417,0.33389428,0.15361443,0.22474249,0.22458637,0.054478344,0.58453774,0.18664992,0.029780196,0.1438454,0.12738214,0.19646119,0.51547337,0.21575916,0.036792714,0.17372917,0.012625902
0.25264782,0.10267294,0.23144309,0.22109805,0.33491018,0.18424365,0.26051617,0.21588866,0.059709884,0.5241157,0.14243399,0.02949301,0.14733998,0.15108441,0.2059335,0.52064615,0.20539212,0.0378833,0.15967324,0.01287414
0.25175744,0.12759706,0.23473085,0.22640605,0.33733803,0.22842526,0.3066433,0.20632018,0.063986845,0.41317976,0.1022473,0.029358355,0.15426525,0.18822534,0.22419351,0.5251042,0.19265243,0.042572565,0.13218504,0.012811201
0.25299042,0.1637666,0.20813501,0.23495613,0.33875528,0.27310458,0.35821074,0.19718426,0.06594428,0.28428495,0.076651864,0.029051486,0.1621585,0.2295519,0.2507141,0.52628624,0.1801515,0.049291983,0.10628831,0.012521898
