"Alpha - Location 1","Alpha - Location 2","Alpha - Location 3","Alpha - Location 4","Beta - Location 1","Beta - Location 2","Beta - Location 3","Beta - Location 4","Delta - Location 1","Delta - Location 2","Delta - Location 3","Delta - Location 4","Gamma - Location 1","Gamma - Location 2","Gamma - Location 3","Gamma - Location 4","Theta - Location 1","Theta - Location 2","Theta - Location 3","Theta - Location 4"
0.22209224,0.027924057,0.09209658,0.24927744,0.37189278,0.09242031,0.16930062,0.19602953,0.20782301,0.70123863,0.527522,0.3083333,0.11764835,0.13661608,0.16520223,0.08586739,0.080543645,0.041800942,0.04587855,0.16049233
0.22746105,0.027924057,0.09209658,0.24853764,0.37027165,0.09242031,0.16930062,0.20687701,0.19993635,0.70123863,0.527522,0.2943449,0.116331644,0.13661608,0.16520223,0.09125421,0.08599931,0.041800942,0.04587855,0.15898623
0.23702516,0.027924057,0.09209658,0.2519617,0.35700533,0.09242031,0.16930062,0.21147598,0.1955105,0.70123863,0.527522,0.28746358,0.1158523,0.13661608,0.16520223,0.095645204,0.09460673,0.041800942,0.04587855,0.15345354
0.26465455,0.027924057,0.09209658,0.25269037,0.32939515,0.09242031,0.16930062,0.20736963,0.1910569,0.70123863,0.527522,0.2956598,0.11328331,0.13661608,0.16520223,0.09847058,0.10161008,0.041800942,0.04587855,0.14580962
0.27263886,0.027924057,0.09209658,0.247557,0.31028536,0.09242031,0.16930062,0.1963542,0.19475916,0.70123863,0.527522,0.31748202,0.11394919,0.13661608,0.16520223,0.100127846,0.108367436,0.041800942,0.04587855,0.13847892
0.26621398,0.027924057,0.09209658,0.23530029,0.29945454,0.09242031,0.16930062,0.18324213,0.20386672,0.70123863,0.527522,0.3454224,0.11728302,0.13661608,0.16520223,0.10193539,0.11318175,0.041800942,0.04587855,0.13409983
0.261609,0.027924057,0.09209658,0.22429429,0.28936687,0.09242031,0.16930062,0.16991703,0.21330102,0.70123863,0.527522,0.36999375,0.12088439,0.13661608,0.16520223,0.103688136,0.11483872,0.041800942,0.04587855,0.13210681
0.2609662,0.027924057,0.09209658,0.21647412,0.27802098,0.09242031,0.16930062,0.15872829,0.22089437,0.70123863,0.527522,0.386697,0.124974206,0.13661608,0.16520223,0.105735846,0.115144245,0.041800942,0.04587855,0.13236475
0.26465917,0.027924057,0.09209658,0.21331787,0.26472107,0.09242031,0.16930062,0.15036409,0.22488429,0.70123863,0.527522,0.3954773,0.13031985,0.13661608,0.16520223,0.10797823,0.115415655,0.041800942,0.04587855,0.1328625
0.26472282,0.027924057,0.09209658,0.21266176,0.253067,0.09242031,0.16930062,0.14510944,0.22570178,0.70123863,0.527522,0.3994349,0.13916941,0.13661608,0.16520223,0.11044664,0.11733903,0.041800942,0.04587855,0.13234727
0.27795815,0.027924057,0.09209658,0.21247813,0.23919635,0.09242031,0.16930062,0.14351185,0.21685384,0.70123863,0.527522,0.401116,0.14839758,0.13661608,0.16520223,0.1133939,0.11759409,0.041800942,0.04587855,0.1295001
0.28264934,0.027924057,0.09209658,0.21195443,0.23190698,0.09242031,0.16930062,0.14583719,0.20636818,0.70123863,0.527522,0.40139246,0.1604263,0.13661608,0.16520223,0.1168517,0.118649215,0.041800942,0.04587855,0.12396422
0.28215808,0.027924057,0.09209658,0.20573993,0.23015006,0.09242031,0.16930062,0.15261495,0.19683342,0.70123863,0.527522,0.40219235,0.17152898,0.13661608,0.16520223,0.12118073,0.119329475,0.041800942,0.04587855,0.11827206
