"Alpha - Location 1","Alpha - Location 2","Alpha - Location 3","Alpha - Location 4","Beta - Location 1","Beta - Location 2","Beta - Location 3","Beta - Location 4","Delta - Location 1","Delta - Location 2","Delta - Location 3","Delta - Location 4","Gamma - Location 1","Gamma - Location 2","Gamma - Location 3","Gamma - Location 4","Theta - Location 1","Theta - Location 2","Theta - Location 3","Theta - Location 4"
0.26516446,0.20715035,0.3150929,0.27567255,0.1982843,0.29537886,0.2058975,0.18718842,0.20638035,0.2084215,0.24422742,0.23475312,0.07134063,0.17329068,0.14363497,0.13691276,0.25883028,0.1157586,0.091147214,0.16547313
0.26144412,0.2918369,0.39961687,0.2742968,0.2018861,0.2715149,0.18345158,0.17994687,0.20504963,0.18420556,0.2070049,0.23874982,0.066893905,0.15203004,0.12975155,0.13280548,0.26472625,0.10041263,0.08017511,0.17420106
0.25949934,0.35309744,0.45838082,0.2699165,0.20605622,0.25252002,0.16987011,0.17599206,0.2039745,0.16882133,0.17854492,0.2385532,0.062357213,0.13469473,0.119257644,0.13103913,0.26811272,0.0908665,0.07394652,0.18449913
0.2611352,0.3597903,0.48183888,0.25958484,0.2132492,0.25218683,0.16672456,0.17904362,0.19964184,0.17036177,0.1631932,0.23111735,0.058311224,0.12830447,0.11484632,0.13334528,0.26766253,0.08935661,0.07339705,0.19690892
0.2673629,0.33179414,0.47513187,0.25876454,0.2253995,0.26526675,0.17216854,0.18802296,0.19102061,0.18200338,0.15877914,0.209844,0.055071358,0.12942548,0.116613455,0.13800557,0.26114568,0.09151024,0.07730699,0.20536293
0.2755614,0.31034243,0.4553592,0.26544708,0.24432611,0.27683446,0.18085304,0.20463963,0.18024194,0.19039088,0.15937623,0.17751186,0.05301556,0.13108192,0.121602714,0.14537874,0.24685498,0.09135031,0.082808815,0.20702271
0.27578512,0.29706708,0.44194764,0.2709235,0.2726636,0.2863043,0.18688713,0.23054923,0.17356643,0.19312263,0.15894122,0.14241777,0.05307382,0.13367246,0.12555599,0.15641464,0.22491105,0.08983354,0.08666801,0.19969484
0.27748102,0.28969908,0.4343159,0.27731225,0.30354515,0.2932414,0.19091693,0.2624206,0.17359358,0.19094144,0.15825938,0.11174019,0.054244787,0.1373849,0.12780988,0.16885161,0.19113547,0.08873317,0.08869792,0.17967533
0.26996195,0.28557566,0.43059,0.28955853,0.3346966,0.29692444,0.19366601,0.29195744,0.18420579,0.18649344,0.15848517,0.09144361,0.0561121,0.14174834,0.12821876,0.1787245,0.15502357,0.08925812,0.08904005,0.1483159
0.25365403,0.28296873,0.4287115,0.2953533,0.3585466,0.2974609,0.19567007,0.31605121,0.20312396,0.18286957,0.15936305,0.08598083,0.056879807,0.14606701,0.12715597,0.18546444,0.12779559,0.0906338,0.08909941,0.11715022
