Alpha - Location 1,Alpha - Location 2,Alpha - Location 3,Alpha - Location 4,Beta - Location 1,Beta - Location 2,Beta - Location 3,Beta - Location 4,Delta - Location 1,Delta - Location 2,Delta - Location 3,Delta - Location 4,Gamma - Location 1,Gamma - Location 2,Gamma - Location 3,Gamma - Location 4,Theta - Location 1,Theta - Location 2,Theta - Location 3,Theta - Location 4
0.2739961,0.09425402,0.14482522,0.28746033,0.20623212,0.23636921,0.41549888,0.2284701,0.23545109,0.26292115,0.18222176,0.18460347,0.099688366,0.23503956,0.15938234,0.10026154,0.1846323,0.17141607,0.0980718,0.19920456
0.28443196,0.11364685,0.15011533,0.29353067,0.19296363,0.27575558,0.4476029,0.22682674,0.23850077,0.15200472,0.149191,0.1880615,0.096312016,0.2885503,0.1595672,0.10293985,0.18779162,0.17004257,0.09352357,0.18864124
0.28596738,0.13474442,0.15246268,0.29814622,0.18411978,0.2845596,0.46863753,0.22536777,0.24363558,0.10060606,0.12522936,0.19047065,0.09447499,0.30969945,0.16028443,0.10553209,0.19180226,0.17039046,0.09338602,0.18048328
0.28905958,0.14586797,0.15387356,0.30168328,0.17753942,0.28213537,0.4798514,0.22435507,0.24640845,0.08673003,0.10745613,0.19111556,0.09306713,0.31581312,0.16348079,0.10779337,0.19392541,0.16945352,0.095338106,0.17505273
0.29453704,0.15125255,0.1563797,0.30464906,0.17306726,0.27827835,0.4809051,0.22347458,0.24649116,0.08553799,0.095680915,0.18979953,0.09204602,0.31831077,0.1688377,0.10973114,0.1938585,0.16662036,0.09819659,0.17234571
0.3011897,0.15211894,0.15769912,0.30761698,0.17061996,0.27747074,0.47604123,0.22218595,0.24406232,0.0851383,0.08909027,0.18664777,0.091524765,0.32307804,0.17635076,0.111458585,0.19260328,0.162194,0.10081861,0.1720907
0.32362643,0.15361324,0.15850765,0.30535135,0.16628082,0.27884763,0.46758685,0.2286154,0.23154329,0.084415264,0.08627413,0.1801781,0.091848016,0.32663122,0.18488973,0.117213614,0.18670143,0.15649265,0.102741644,0.16864152
0.34487957,0.1605898,0.15986784,0.30049574,0.16237582,0.2814305,0.45747533,0.2353442,0.21769708,0.08348094,0.084207684,0.17110604,0.09316434,0.32490906,0.19356328,0.12553531,0.18188317,0.14958967,0.10488587,0.16751869
0.3623202,0.16624384,0.15889901,0.2878816,0.15729414,0.28691876,0.4477753,0.2422811,0.2060958,0.08283712,0.08112185,0.16530555,0.09424767,0.32003507,0.20306171,0.1361249,0.18004218,0.14396523,0.10914213,0.16840684
0.37701827,0.16874078,0.15219519,0.265267,0.14998099,0.29444572,0.4406652,0.24969146,0.19899936,0.08153927,0.076623864,0.16543257,0.09366237,0.31503192,0.21396506,0.14849819,0.180339,0.1402423,0.1165507,0.17111076
0.38540605,0.16706757,0.14922866,0.2672378,0.14265333,0.30288365,0.43173972,0.24711253,0.19764401,0.07874092,0.0709143,0.1632132,0.09175423,0.31451765,0.2233508,0.15430629,0.1825424,0.1367902,0.12476653,0.16813019
0.39014995,0.16740324,0.15406908,0.27386287,0.13672137,0.31004187,0.420457,0.24320003,0.19986244,0.07405135,0.065912634,0.16128784,0.088691294,0.31884184,0.22930366,0.15660629,0.18457496,0.12966172,0.13025762,0.16504298
0.3927887,0.16913164,0.18010823,0.3019837,0.13308364,0.31775337,0.40089232,0.23277125,0.2048225,0.0689492,0.06191331,0.15611063,0.08536996,0.32674968,0.2280723,0.15153393,0.18393521,0.11741609,0.12901384,0.15760046
0.38148963,0.17730768,0.19440927,0.31429031,0.13512592,0.32533282,0.38868487,0.22733125,0.21515149,0.06559199,0.060854826,0.15666158,0.0847264,0.33109096,0.22969559,0.14754795,0.18350655,0.10067655,0.12635542,0.15416889
0.35203803,0.19210206,0.20019095,0.3209951,0.14459945,0.3312482,0.38053954,0.22278212,0.23100162,0.06565243,0.061219696,0.15980504,0.08821022,0.32761082,0.23419993,0.14336836,0.18415068,0.08338649,0.1238499,0.1530494
0.3209421,0.20601547,0.2071414,0.31914982,0.15868662,0.3338821,0.3708061,0.22022158,0.2471125,0.071797855,0.06150503,0.16521762,0.09373652,0.31886935,0.23943989,0.14088051,0.17952226,0.06943523,0.1211076,0.15453048
0.3055859,0.21274,0.21354322,0.31842202,0.17221092,0.3312075,0.36111373,0.21722029,0.2588076,0.08694346,0.06204929,0.16941793,0.09860245,0.3085725,0.24560131,0.13966021,0.16479315,0.06053652,0.11769245,0.15527953
0.29341406,0.2109375,0.21417369,0.31773126,0.18480709,0.3211855,0.3561736,0.21451046,0.27178702,0.11188612,0.06322866,0.17216705,0.10392865,0.29905477,0.25260928,0.14119521,0.14606318,0.056936108,0.11381474,0.15439603
0.2914425,0.19949393,0.21418145,0.31384695,0.19130577,0.30650377,0.3558112,0.21267274,0.2827265,0.14560032,0.06422876,0.17541593,0.108051255,0.29053602,0.25657013,0.14650609,0.12647395,0.057865977,0.109208435,0.1515583
0.28861472,0.18911374,0.20997941,0.31837353,0.19320856,0.2885764,0.36159068,0.20606424,0.29041564,0.18250273,0.06501891,0.17777218,0.11210681,0.27851233,0.25679946,0.15087587,0.115654245,0.061294816,0.10661152,0.14691418
0.29251447,0.19108991,0.20189026,0.3409073,0.18754904,0.2699474,0.3699151,0.18852474,0.2904899,0.21285377,0.0667879,0.17778046,0.1133994,0.2613282,0.2532041,0.14746392,0.11604717,0.064780705,0.108202636,0.14532357
0.33258143,0.1960576,0.20478183,0.41598728,0.1654797,0.25675735,0.37075543,0.1488195,0.27257136,0.23438959,0.06967034,0.16433094,0.1039481,0.2453596,0.24305534,0.12394371,0.12541941,0.06743586,0.11173704,0.14691855
0.39949432,0.1905399,0.20932938,0.44577113,0.1330224,0.25157544,0.36762652,0.11827005,0.24632852,0.25105023,0.07493657,0.16311385,0.08525904,0.2366273,0.23281078,0.10411136,0.13589573,0.070207134,0.115296766,0.16873364
0.41831595,0.18547373,0.21591288,0.4322447,0.1128031,0.24763265,0.36172897,0.09911665,0.24452762,0.26256976,0.08190285,0.17539713,0.07203136,0.23196808,0.22510779,0.091344476,0.15232196,0.0723558,0.11534753,0.20189707
0.39540637,0.17889047,0.22068767,0.39268562,0.104192555,0.24337338,0.35609362,0.08868101,0.26307157,0.27307108,0.08994939,0.19738986,0.06509521,0.23074219,0.22196135,0.08438263,0.1722343,0.07392288,0.11130796,0.23686087
0.3613975,0.17390484,0.22145747,0.35479575,0.101259984,0.23850806,0.3519253,0.0826628,0.2866029,0.28282714,0.09889847,0.21940292,0.061726477,0.23014694,0.22294874,0.08014174,0.18901311,0.07461303,0.104770005,0.2629968
0.33995056,0.1680122,0.22141182,0.3316233,0.09996167,0.23588024,0.34724084,0.07912591,0.3023911,0.29258624,0.108069696,0.23519725,0.060088612,0.22952414,0.22543009,0.077530555,0.19760802,0.073997185,0.09784756,0.276523
0.32816437,0.1625656,0.22119656,0.32275864,0.10038893,0.23614424,0.3416888,0.077344626,0.3097307,0.30052948,0.11684828,0.24246602,0.060294006,0.2281076,0.22788425,0.076515004,0.20142198,0.072653055,0.092382096,0.2809157
0.32199118,0.17161116,0.21916418,0.31773704,0.10209439,0.23481418,0.3375439,0.07733054,0.3105946,0.30060774,0.12442,0.2439043,0.06172544,0.22292262,0.23012686,0.0773139,0.20359443,0.07004431,0.08874507,0.2837142
0.31840613,0.17313878,0.21307091,0.31484148,0.104589015,0.23637806,0.3387371,0.07805426,0.30760163,0.30021384,0.12972167,0.24156028,0.06336911,0.22144568,0.2325347,0.07877844,0.20603411,0.06882361,0.08593559,0.28676555
0.31656122,0.18117729,0.19872127,0.31296024,0.107327215,0.23622179,0.3483408,0.07896612,0.3020781,0.29390448,0.13332306,0.23682731,0.06452605,0.22067843,0.2357101,0.08002853,0.2095074,0.068018,0.08390475,0.2912178
0.3167954,0.19047768,0.18763918,0.31205913,0.11014267,0.23748639,0.360128,0.07947694,0.2947401,0.2826099,0.13444477,0.23149224,0.064857155,0.222064,0.23592332,0.08036846,0.21346466,0.06736201,0.08186476,0.29660323
0.31905967,0.19168584,0.1820011,0.31211603,0.11314168,0.2458269,0.36955416,0.079239696,0.28602412,0.26862678,0.13459323,0.22714743,0.06443634,0.22706366,0.2338727,0.07959471,0.2173382,0.06679681,0.0799788,0.30190215
0.32282567,0.19497457,0.1848316,0.3130739,0.116311364,0.26001763,0.37145808,0.07829038,0.2769873,0.24752124,0.13421895,0.22411767,0.06352026,0.23298669,0.23159133,0.07796405,0.22035539,0.06449987,0.077900015,0.306554
0.32734504,0.20041275,0.19452044,0.31520683,0.1195327,0.279098,0.36508846,0.0768373,0.26961753,0.21916695,0.1329708,0.22186674,0.06232638,0.24091774,0.2326226,0.075962745,0.22117835,0.06040455,0.074797705,0.3101264
0.33286646,0.20261309,0.19975057,0.31947914,0.12313088,0.3006634,0.35748735,0.07521988,0.26438335,0.18789017,0.13085504,0.21947294,0.061135173,0.25366423,0.24125281,0.07399693,0.21848412,0.055169113,0.070654236,0.3118311
0.3421114,0.2046991,0.20300044,0.32891333,0.1280182,0.31878597,0.35100734,0.073950715,0.25946638,0.15663926,0.1260065,0.21567185,0.060585205,0.27029046,0.25521693,0.072452955,0.2098188,0.049585193,0.064768806,0.30901113
0.35829237,0.20654191,0.20491463,0.3439781,0.13565071,0.33169731,0.3486053,0.074173816,0.25048527,0.1289933,0.11816747,0.20965697,0.061623085,0.2884251,0.27065367,0.07222513,0.19394855,0.044342387,0.05765895,0.29996598
0.37496212,0.20350122,0.20327748,0.36515376,0.1492235,0.34376797,0.35262492,0.077044286,0.23586197,0.10603963,0.10875007,0.19922242,0.0660966,0.30666566,0.2843827,0.074398786,0.17385581,0.040025502,0.050964836,0.28418076
0.3712012,0.20542173,0.19123453,0.37630656,0.17560118,0.35463563,0.3657406,0.08543004,0.21982937,0.084424876,0.099773675,0.18636057,0.077475436,0.31909326,0.29721275,0.08210944,0.15589282,0.036424525,0.04603846,0.2697934
0.33443776,0.20190103,0.17094074,0.36715075,0.22025473,0.37046498,0.38520706,0.10117243,0.20394225,0.065198556,0.09145356,0.17169578,0.098535344,0.3288482,0.30940312,0.0976937,0.14282991,0.03358721,0.042995516,0.26228735
0.3044912,0.19338758,0.15462475,0.34111404,0.26673964,0.38940078,0.40347055,0.122882076,0.1781433,0.04973274,0.08239658,0.1539279,0.12163369,0.33548453,0.31865492,0.119752675,0.1289922,0.03199435,0.0408532,0.2623233
0.30154198,0.18617257,0.14970751,0.31243712,0.29525128,0.40539148,0.41485906,0.1455388,0.15099955,0.04029266,0.07228464,0.13597716,0.1365981,0.3375305,0.32429126,0.14121991,0.11560909,0.030612785,0.038857523,0.264827
0.32008925,0.18400012,0.1479311,0.3106428,0.30219674,0.4144349,0.4211163,0.16149053,0.13301186,0.036831483,0.06279091,0.119949915,0.14094804,0.3352355,0.33063176,0.15231879,0.1037541,0.029497975,0.03752991,0.25559795
0.33800024,0.18104777,0.14619699,0.31123537,0.3009297,0.41967788,0.42189685,0.17718036,0.12669894,0.037871163,0.055463985,0.10861245,0.14178497,0.33267188,0.3392134,0.16010238,0.09258616,0.0287313,0.037228785,0.2428694
0.3501867,0.16883208,0.1453289,0.30611542,0.29730055,0.4267654,0.41721994,0.19411747,0.12937142,0.04108851,0.05050171,0.10235224,0.14256091,0.33441344,0.34927505,0.1685551,0.080580406,0.02890058,0.037674405,0.22885978
0.36008194,0.15874408,0.14666218,0.30695647,0.2906608,0.43102887,0.40941414,0.2070202,0.13667646,0.044168208,0.04695558,0.0985355,0.14302355,0.33634126,0.35861608,0.17500466,0.06955721,0.02971757,0.03835203,0.21248317
0.36697793,0.14916198,0.14981054,0.29745397,0.2829236,0.43355432,0.40254843,0.21909843,0.14493169,0.046142455,0.04349876,0.09888197,0.14294992,0.34032413,0.3651469,0.18193927,0.062216878,0.030817086,0.038995348,0.20262635
0.3716703,0.1350945,0.15344457,0.28027982,0.2763503,0.43646857,0.4003253,0.22954772,0.15044972,0.047489155,0.039596617,0.10433996,0.14199127,0.34882528,0.36728916,0.18675752,0.059538413,0.032122515,0.039344367,0.19907498
0.37573147,0.12168682,0.15614516,0.26963255,0.2720419,0.43675572,0.4038013,0.235624,0.15197799,0.04893522,0.03609159,0.11359433,0.14047268,0.3591835,0.36485106,0.18592605,0.059775986,0.03343873,0.039110895,0.19522306
