Alpha - Location 1,Alpha - Location 2,Alpha - Location 3,Alpha - Location 4,Beta - Location 1,Beta - Location 2,Beta - Location 3,Beta - Location 4,Delta - Location 1,Delta - Location 2,Delta - Location 3,Delta - Location 4,Gamma - Location 1,Gamma - Location 2,Gamma - Location 3,Gamma - Location 4,Theta - Location 1,Theta - Location 2,Theta - Location 3,Theta - Location 4
0.43705958,0.037856277,0.16795437,0.18538538,0.10492487,0.023092046,0.13551691,0.23223358,0.19599223,0.82287997,0.33475035,0.20498703,0.041598998,0.027031206,0.075242124,0.0668598,0.22042431,0.089140475,0.28653625,0.3105342
0.43705958,0.037277203,0.16778414,0.18538538,0.10492487,0.02448474,0.14416605,0.23223358,0.19599223,0.82169336,0.35241053,0.20498703,0.041598998,0.028415537,0.07853319,0.0668598,0.22042431,0.088129185,0.25710613,0.3105342
0.43705958,0.03373255,0.1567127,0.18538538,0.10492487,0.024849549,0.14203626,0.23223358,0.19599223,0.82358456,0.38047,0.20498703,0.041598998,0.02859283,0.0755745,0.0668598,0.22042431,0.089240536,0.24520652,0.3105342
0.43705958,0.027547546,0.13547146,0.18538538,0.10492487,0.024541857,0.13078944,0.23223358,0.19599223,0.82901657,0.40463594,0.20498703,0.041598998,0.027959688,0.065764815,0.0668598,0.22042431,0.09093432,0.26333833,0.3105342
0.43705958,0.024181243,0.12099687,0.18538538,0.10492487,0.02379614,0.11540706,0.23223358,0.19599223,0.8344449,0.416204,0.20498703,0.041598998,0.026687529,0.053565707,0.0668598,0.22042431,0.09089021,0.29382634,0.3105342
0.43705958,0.024551816,0.12601611,0.18538538,0.10492487,0.023247415,0.099937186,0.23223358,0.19599223,0.8378171,0.4211737,0.20498703,0.041598998,0.025405565,0.04397881,0.0668598,0.22042431,0.08897812,0.30889422,0.3105342
0.43705958,0.025298009,0.12945284,0.18538538,0.10492487,0.023730204,0.088327706,0.23223358,0.19599223,0.8379359,0.43440244,0.20498703,0.041598998,0.02496288,0.039235152,0.0668598,0.22042431,0.088072985,0.3085819,0.3105342
0.43705958,0.030332437,0.14141898,0.18538538,0.10492487,0.025821835,0.079524815,0.23223358,0.19599223,0.828493,0.44662845,0.20498703,0.041598998,0.025759619,0.03776237,0.0668598,0.22042431,0.08959313,0.2946654,0.3105342
0.43705958,0.039525453,0.14368856,0.18538538,0.10492487,0.029647458,0.075213514,0.23223358,0.19599223,0.8075386,0.46086225,0.20498703,0.041598998,0.027825553,0.03940431,0.0668598,0.22042431,0.095462896,0.28083137,0.3105342
0.43705958,0.050590914,0.14122672,0.18538538,0.10492487,0.034383263,0.074555755,0.23223358,0.19599223,0.77938086,0.4704439,0.20498703,0.041598998,0.030529255,0.043270163,0.0668598,0.22042431,0.1051157,0.27050346,0.3105342
0.43705958,0.056633294,0.14067136,0.18538538,0.10492487,0.038216714,0.07588582,0.23223358,0.19599223,0.75731456,0.47057676,0.20498703,0.041598998,0.03265589,0.04806836,0.0668598,0.22042431,0.11517957,0.2647977,0.3105342
