Alpha - Location 1,Alpha - Location 2,Alpha - Location 3,Alpha - Location 4,Beta - Location 1,Beta - Location 2,Beta - Location 3,Beta - Location 4,Delta - Location 1,Delta - Location 2,Delta - Location 3,Delta - Location 4,Gamma - Location 1,Gamma - Location 2,Gamma - Location 3,Gamma - Location 4,Theta - Location 1,Theta - Location 2,Theta - Location 3,Theta - Location 4
0.33096784,0.3064807,0.28200662,0.25229725,0.06796873,0.15631801,0.22201318,0.07108543,0.3537979,0.31423566,0.10133614,0.4021346,0.050682824,0.0772207,0.21731128,0.026855784,0.19658269,0.14574493,0.17733279,0.24762693
0.28101745,0.3622926,0.28688,0.2426592,0.06423864,0.16950653,0.22253771,0.07004759,0.40762964,0.25538954,0.103304535,0.41949448,0.049214993,0.08451547,0.2209701,0.027631713,0.19789931,0.12829585,0.16630769,0.24016702
0.20476305,0.39153713,0.30160496,0.20169994,0.053655494,0.18046673,0.21567106,0.06122615,0.488693,0.21365637,0.106983006,0.46325478,0.042166177,0.08944705,0.21426968,0.025368745,0.21072228,0.12489272,0.1614713,0.24845037
0.13503347,0.38892624,0.30468678,0.14126913,0.04251529,0.18446897,0.20774975,0.051286776,0.56064713,0.20515236,0.11468194,0.5175301,0.03399233,0.08971371,0.2051005,0.02227967,0.2278118,0.13173872,0.16778104,0.26763436
0.09499928,0.3657335,0.2925088,0.09909886,0.034568034,0.18223876,0.20148797,0.043750655,0.6031259,0.22486907,0.12619375,0.55544674,0.027803259,0.0865916,0.19769776,0.019924466,0.23950358,0.14056705,0.18211171,0.2817793
0.07759961,0.33876345,0.28108183,0.07922093,0.029999861,0.17789169,0.19454864,0.039360024,0.6229747,0.2549106,0.13841733,0.57493174,0.024072198,0.08299374,0.19020829,0.018774671,0.24535364,0.14544053,0.19574392,0.28771263
0.070028774,0.31702167,0.27211934,0.07128918,0.027830303,0.17384253,0.1883276,0.037456706,0.6314674,0.2832721,0.15053952,0.5836352,0.022082796,0.080693804,0.18373239,0.018596685,0.24859071,0.14516993,0.20528115,0.28902224
0.06900335,0.30215585,0.26621458,0.07001489,0.027069617,0.17030871,0.18332212,0.03716518,0.63221824,0.3054262,0.16153644,0.5852973,0.020938162,0.08005183,0.17808402,0.018876893,0.25077063,0.1420574,0.21084286,0.28864574
0.06770265,0.2933438,0.2645454,0.065976866,0.02750503,0.16679601,0.17844415,0.035368223,0.6312453,0.32042995,0.17081992,0.58927864,0.02024835,0.08085645,0.17170517,0.018458996,0.25329864,0.1385738,0.21448533,0.29091725
0.06668884,0.28832084,0.26797518,0.06579033,0.029159196,0.16282533,0.17191021,0.0369358,0.6288256,0.33010355,0.17898747,0.58733225,0.019842118,0.08250237,0.16221255,0.019120602,0.25548422,0.13624792,0.2189146,0.29082102
