Alpha - Location 1,Alpha - Location 2,Alpha - Location 3,Alpha - Location 4,Beta - Location 1,Beta - Location 2,Beta - Location 3,Beta - Location 4,Delta - Location 1,Delta - Location 2,Delta - Location 3,Delta - Location 4,Gamma - Location 1,Gamma - Location 2,Gamma - Location 3,Gamma - Location 4,Theta - Location 1,Theta - Location 2,Theta - Location 3,Theta - Location 4
0.4052028,0.28618276,0.27314004,0.5024529,0.11469281,0.2243322,0.29920676,0.19293302,0.29046965,0.10616246,0.17532781,0.13826281,0.06428966,0.3134123,0.14540665,0.05920553,0.12534507,0.069910266,0.10691874,0.10714573
0.39925236,0.30996075,0.2607687,0.50015956,0.12127449,0.22398962,0.304829,0.20799978,0.28762427,0.10465058,0.17767881,0.13029787,0.06781618,0.2953039,0.14276284,0.062646985,0.12403271,0.066095114,0.11396064,0.0988958
0.417036,0.3169412,0.24939258,0.48482153,0.12224437,0.22577862,0.31446213,0.22648062,0.27590474,0.10793429,0.1763767,0.12888347,0.06821447,0.28635585,0.14040361,0.06816375,0.116600424,0.062990025,0.119364955,0.091650635
0.4190442,0.3048654,0.24084455,0.45120835,0.12388495,0.23027821,0.32240573,0.25100997,0.27449042,0.11598135,0.17385173,0.13395835,0.06937673,0.28703022,0.14104722,0.07616378,0.113203704,0.06184485,0.12185078,0.08765952
0.41662943,0.292866,0.23552011,0.40799525,0.123220205,0.23255964,0.32423535,0.27819058,0.2761102,0.12336732,0.17278825,0.14030147,0.0697005,0.2880261,0.14603743,0.08552302,0.11433964,0.06318095,0.12141887,0.08798967
0.41085875,0.28276235,0.23249815,0.4049279,0.12055896,0.23370552,0.31872135,0.28419423,0.27904987,0.12772673,0.17421618,0.13543998,0.06898164,0.2878893,0.15441376,0.08877769,0.12055078,0.067916095,0.12015054,0.0866602
0.4010012,0.2758297,0.22992393,0.41031262,0.11801632,0.23313002,0.30779552,0.28413007,0.28206584,0.12859614,0.17832707,0.12910359,0.06771279,0.2867447,0.16314322,0.08997267,0.13120386,0.075699404,0.120810255,0.08648106
0.38600087,0.26792237,0.22605006,0.40846512,0.11732868,0.23085696,0.295608,0.2855481,0.2866034,0.12941948,0.18522103,0.12763542,0.06655825,0.28692287,0.16865769,0.091008395,0.14350879,0.08487831,0.1244632,0.08734299
0.37096995,0.2582712,0.2198618,0.40040758,0.11802695,0.22701648,0.28565848,0.28681883,0.2920432,0.13284366,0.19531879,0.13321906,0.065279394,0.28834087,0.1695448,0.09149586,0.1536805,0.093527816,0.12961613,0.08805866
0.3713244,0.2489569,0.21199313,0.38743055,0.11728332,0.22210814,0.28034103,0.2860527,0.29254147,0.13973086,0.2069759,0.14538091,0.06269767,0.28941903,0.16746299,0.092016,0.15615314,0.09978508,0.13322696,0.08911983
0.37284306,0.24110414,0.20116663,0.3767362,0.11751298,0.21734515,0.28150788,0.27983886,0.29289803,0.14901209,0.21807781,0.15969788,0.06061579,0.28947482,0.16592975,0.09271477,0.15613014,0.103063785,0.13331795,0.09101229
0.3739404,0.23521861,0.19155908,0.35835743,0.118387245,0.21313934,0.28760803,0.27400067,0.29282707,0.15810502,0.22512828,0.17563605,0.059009228,0.288987,0.16631454,0.09607469,0.15583603,0.10455001,0.12939008,0.095931135
0.37103066,0.23109683,0.1801573,0.33497423,0.120308526,0.20902537,0.2982242,0.269356,0.29333568,0.16550209,0.2274999,0.18993282,0.05782944,0.28908247,0.16983503,0.101372056,0.15749569,0.105293214,0.12428356,0.10436487
0.36257747,0.22832125,0.16582155,0.31843477,0.12203053,0.20407417,0.3118596,0.26233235,0.29600495,0.1709662,0.22599718,0.19744414,0.05661621,0.2905998,0.17592594,0.10525954,0.16277085,0.10603857,0.12039572,0.116529204
0.34802037,0.22602454,0.15167475,0.3259239,0.12218124,0.19801307,0.32550105,0.24715275,0.3023665,0.17542781,0.22230494,0.1923712,0.055058073,0.29390785,0.18258367,0.10315596,0.17237383,0.10662673,0.11793558,0.13139619
0.32429978,0.21316442,0.1393917,0.3351759,0.12101104,0.19412804,0.3370994,0.23234476,0.31430635,0.18198517,0.21887088,0.18251406,0.053701997,0.30244425,0.1887225,0.09803108,0.18668084,0.10827811,0.11591549,0.15193419
0.30807826,0.19103947,0.12935352,0.3306936,0.11727066,0.19335063,0.3465729,0.22298118,0.3234585,0.18961738,0.21706972,0.17500047,0.051888134,0.31497437,0.19348499,0.09333026,0.19930443,0.11101814,0.11351887,0.17799447
0.2837601,0.18376586,0.12387663,0.32337278,0.11598495,0.19163926,0.35374862,0.2155374,0.3355888,0.19171706,0.21636534,0.16987318,0.051271137,0.32108945,0.19534075,0.08900139,0.21339501,0.111788385,0.11066868,0.20221525
0.26978055,0.18383299,0.12517571,0.31973284,0.11543174,0.19184703,0.35983363,0.20874263,0.3422453,0.18968304,0.21479803,0.16800326,0.050378717,0.32307342,0.19175054,0.085158594,0.22216366,0.11156353,0.10844208,0.21836266
0.27226713,0.17895912,0.1285396,0.3218166,0.11455265,0.19671153,0.36789852,0.20240764,0.34122577,0.18784806,0.21210982,0.17027734,0.048563603,0.32585257,0.18339586,0.08136696,0.22339085,0.11062872,0.108056195,0.22413144
0.28344226,0.17053305,0.13501063,0.3188831,0.11308035,0.20475504,0.37653908,0.19916634,0.3379339,0.18800262,0.20783903,0.1780815,0.045994047,0.32962567,0.17238802,0.078183874,0.21954943,0.107083626,0.10822324,0.22568518
0.2972584,0.17489234,0.14570016,0.32626942,0.11023879,0.2112328,0.38349983,0.19253582,0.33584708,0.18733363,0.20098746,0.18400525,0.042982854,0.32856104,0.16246293,0.07318936,0.21367289,0.097980194,0.10734963,0.22400016
0.30901998,0.1778082,0.15470389,0.33826837,0.10651962,0.22022177,0.3900248,0.18272704,0.33385247,0.1865254,0.19087826,0.18555124,0.04021101,0.329362,0.15791175,0.06705069,0.21039692,0.08608262,0.10648131,0.22640269
0.31139448,0.18207036,0.1610025,0.33683786,0.10381505,0.23131162,0.39654535,0.17474934,0.33204252,0.18157925,0.17425227,0.18531668,0.038724717,0.33210215,0.15984067,0.061948173,0.21402322,0.07293662,0.10835922,0.24114795
0.31284708,0.18920301,0.16413543,0.34981388,0.10155539,0.2429143,0.4029322,0.16165161,0.32292747,0.17135972,0.15012378,0.1800905,0.03854015,0.33579063,0.16674012,0.055086173,0.22412992,0.06073235,0.116068475,0.25335783
0.3133783,0.19604254,0.17090674,0.3518775,0.09877253,0.25142583,0.4037311,0.14730358,0.31184763,0.16275857,0.12096073,0.1884014,0.039180573,0.33649668,0.17458865,0.047950756,0.23682097,0.05327638,0.12981276,0.26446673
0.30014774,0.18131007,0.17650864,0.31033164,0.0924372,0.2535252,0.39985177,0.12624878,0.31786823,0.18176113,0.094562784,0.25043872,0.039096992,0.32854435,0.18152292,0.0392777,0.2504498,0.054859255,0.1475539,0.27370316
0.2648605,0.1588156,0.1786966,0.23482978,0.07894272,0.2357126,0.3933498,0.09345915,0.35787812,0.24486305,0.0776582,0.36806035,0.035950728,0.29150832,0.18662196,0.028574185,0.26236793,0.069100425,0.16367343,0.2750765
0.21276356,0.12949772,0.17864215,0.16587467,0.06175924,0.20395184,0.38628367,0.06237351,0.42736545,0.33914432,0.0706281,0.4850538,0.030208439,0.23469818,0.19018334,0.01961557,0.26790333,0.092707925,0.17426275,0.26708242
0.1704624,0.0948722,0.17561461,0.12249944,0.04667181,0.17396683,0.38169456,0.042470407,0.4948738,0.43220085,0.0696748,0.5658089,0.024198517,0.18211614,0.19307104,0.014143296,0.2637935,0.11684399,0.17994499,0.255078
0.14174296,0.075078666,0.17244658,0.0954154,0.036862362,0.1507221,0.37692666,0.032421723,0.5470417,0.49849302,0.07146153,0.617503,0.019809186,0.14291455,0.19518276,0.0113042835,0.25454378,0.13279168,0.18398249,0.24335557
0.12792411,0.07147737,0.16883944,0.0789294,0.031342957,0.13498648,0.36788285,0.028458076,0.57984537,0.53681976,0.082759425,0.6495036,0.017083907,0.117508665,0.19575974,0.009947777,0.24380368,0.13920772,0.18475856,0.23316115
