Alpha - Location 1,Alpha - Location 2,Alpha - Location 3,Alpha - Location 4,Beta - Location 1,Beta - Location 2,Beta - Location 3,Beta - Location 4,Delta - Location 1,Delta - Location 2,Delta - Location 3,Delta - Location 4,Gamma - Location 1,Gamma - Location 2,Gamma - Location 3,Gamma - Location 4,Theta - Location 1,Theta - Location 2,Theta - Location 3,Theta - Location 4
0.30000964,0.14377664,0.21870415,0.217662,0.12082109,0.06354177,0.12594685,0.1607572,0.22442102,0.45105794,0.27703747,0.25534323,0.11738975,0.040811565,0.07933647,0.100166924,0.2373585,0.30081207,0.29897505,0.26607063
0.2954462,0.1294144,0.2149943,0.20941941,0.128045,0.061153077,0.12466368,0.162491,0.18702604,0.4698786,0.28276232,0.22740108,0.1246194,0.037164457,0.080805294,0.102397494,0.2648634,0.30238947,0.2967744,0.29829103
0.26190054,0.12393744,0.2130089,0.18584026,0.13591276,0.062423367,0.1265052,0.16496728,0.17587288,0.47704953,0.28489536,0.2103277,0.13847916,0.035208553,0.08246163,0.10507884,0.28783467,0.3013811,0.29312894,0.33378592
0.21406192,0.12227001,0.21196333,0.16339529,0.14297767,0.06552635,0.13155703,0.16761541,0.18974753,0.47778875,0.28399006,0.19643603,0.15504424,0.03392096,0.08380694,0.10647006,0.29816863,0.30049396,0.28868264,0.3660832
0.19201054,0.12054556,0.21088992,0.1444749,0.14313598,0.06869724,0.13814756,0.17178787,0.21592166,0.47728467,0.28167012,0.18347763,0.16144398,0.03248957,0.08473562,0.10697479,0.28748783,0.30098298,0.28455678,0.39328483
0.19201054,0.11730808,0.20931077,0.1444749,0.14313598,0.07027343,0.14366628,0.17178787,0.21592166,0.48005807,0.2799022,0.18347763,0.16144398,0.030391613,0.08527941,0.10697479,0.28748783,0.3019688,0.28184134,0.39328483
0.19201054,0.11114446,0.2077998,0.1444749,0.14313598,0.069021925,0.1461713,0.17178787,0.21592166,0.4883797,0.27946892,0.18347763,0.16144398,0.027541446,0.08548447,0.10697479,0.28748783,0.30391246,0.2810755,0.39328483
0.19201054,0.102631696,0.20858903,0.1444749,0.14313598,0.06502859,0.14514433,0.17178787,0.21592166,0.5020537,0.2795271,0.18347763,0.16144398,0.024374487,0.085683,0.10697479,0.28748783,0.30591154,0.28105652,0.39328483
0.19201054,0.09404364,0.2096259,0.1444749,0.14313598,0.05981149,0.14315672,0.17178787,0.21592166,0.5182603,0.27997413,0.18347763,0.16144398,0.02148008,0.0869012,0.10697479,0.28748783,0.3064045,0.28034204,0.39328483
0.19201054,0.08754726,0.21359801,0.1444749,0.14313598,0.055139,0.14254527,0.17178787,0.21592166,0.5331293,0.27759373,0.18347763,0.16144398,0.019213324,0.09020295,0.10697479,0.28748783,0.30497116,0.27606001,0.39328483
0.19201054,0.08444646,0.2233542,0.1444749,0.14313598,0.052242253,0.14478453,0.17178787,0.21592166,0.54474974,0.27107593,0.18347763,0.16144398,0.017646335,0.09608976,0.10697479,0.28748783,0.30091524,0.26469555,0.39328483
0.19201054,0.08548499,0.2361942,0.1444749,0.14313598,0.0518277,0.15136352,0.17178787,0.21592166,0.55254966,0.26165396,0.18347763,0.16144398,0.016819559,0.1050319,0.10697479,0.28748783,0.2933181,0.24575642,0.39328483
0.19201054,0.08757315,0.23398006,0.1444749,0.14313598,0.054495208,0.16681047,0.17178787,0.21592166,0.5575328,0.25389835,0.18347763,0.16144398,0.016907537,0.11914375,0.10697479,0.28748783,0.2834913,0.22616737,0.39328483
0.19201054,0.08482418,0.22239134,0.1444749,0.14313598,0.060611155,0.19150496,0.17178787,0.21592166,0.5618629,0.24134134,0.18347763,0.16144398,0.018296778,0.13688196,0.10697479,0.28748783,0.27440503,0.20788041,0.39328483
0.19201054,0.07646019,0.21131516,0.1444749,0.14313598,0.06964412,0.22304347,0.17178787,0.21592166,0.5641986,0.21681511,0.18347763,0.16144398,0.021332785,0.15459248,0.10697479,0.28748783,0.26836428,0.19423378,0.39328483
0.19201054,0.06894568,0.19779755,0.1444749,0.14313598,0.078880936,0.25882238,0.17178787,0.21592166,0.560421,0.18227705,0.18347763,0.16144398,0.025954878,0.17010213,0.10697479,0.28748783,0.26579753,0.19100088,0.39328483
0.19201054,0.0661822,0.20402527,0.1444749,0.14313598,0.084476806,0.2821999,0.17178787,0.21592166,0.5515168,0.14579713,0.18347763,0.16144398,0.031500462,0.17602995,0.10697479,0.28748783,0.26632375,0.19194774,0.39328483
