Alpha - Location 1,Alpha - Location 2,Alpha - Location 3,Alpha - Location 4,Beta - Location 1,Beta - Location 2,Beta - Location 3,Beta - Location 4,Delta - Location 1,Delta - Location 2,Delta - Location 3,Delta - Location 4,Gamma - Location 1,Gamma - Location 2,Gamma - Location 3,Gamma - Location 4,Theta - Location 1,Theta - Location 2,Theta - Location 3,Theta - Location 4
0.19357188,0.109618835,0.051884647,0.39032447,0.27106464,0.031176442,0.024548795,0.059931945,0.23745362,0.6119344,0.70179665,0.22996372,0.11242381,0.015028155,0.019463474,0.026424533,0.18548605,0.23224214,0.20230646,0.29335535
0.20699762,0.116915174,0.054465216,0.42332458,0.27471057,0.034122456,0.02656736,0.05415012,0.22500253,0.61533165,0.705669,0.22165461,0.11646049,0.015709298,0.021130852,0.027420297,0.17682882,0.21792144,0.19216757,0.27345037
0.21547908,0.13023242,0.060206845,0.4665446,0.27838582,0.039238505,0.029997105,0.05032148,0.21510097,0.6141602,0.7084617,0.21404469,0.121827036,0.017270135,0.024326976,0.02901486,0.16920711,0.19909875,0.17700739,0.24007437
0.2229084,0.13658638,0.07041183,0.4775121,0.2809922,0.04931209,0.03568971,0.05496179,0.20666161,0.61323524,0.70687234,0.22198623,0.12716153,0.020816082,0.029560713,0.03426928,0.16227624,0.18005021,0.15746541,0.2112706
0.22957923,0.12312123,0.08367645,0.44941095,0.28202718,0.06837787,0.044327714,0.07333301,0.19990893,0.61431235,0.6977367,0.24518603,0.13208187,0.028004758,0.037054226,0.04614765,0.15640281,0.16618375,0.13720496,0.18592237
0.23571478,0.11479492,0.104354955,0.3690034,0.2808108,0.09749957,0.055333354,0.11501049,0.19524804,0.59057796,0.67294544,0.28104627,0.13645864,0.039190497,0.0459657,0.069988966,0.15176773,0.15793708,0.12140058,0.16495088
0.24144746,0.12770215,0.1266189,0.25520897,0.27703533,0.12924863,0.066531055,0.1782686,0.19300263,0.53189784,0.63693374,0.31203553,0.140195,0.051414184,0.054686297,0.105131336,0.1483196,0.15973721,0.11523,0.14935556
0.24670452,0.15614803,0.14866097,0.1995432,0.27110627,0.15271114,0.076295696,0.22123323,0.19291234,0.46148834,0.59544605,0.30998433,0.14326565,0.060489196,0.062824786,0.12955588,0.14601123,0.1691633,0.11677248,0.13968337
0.23264262,0.18052268,0.17482506,0.20225066,0.29013875,0.17205727,0.08611898,0.22916698,0.17890301,0.40234947,0.5490147,0.29457542,0.16017541,0.06870906,0.072746724,0.13669807,0.13814022,0.17636152,0.11729453,0.13730888
0.23546629,0.20496178,0.2033496,0.18420596,0.29034513,0.19617026,0.100629516,0.23503073,0.17426004,0.34389287,0.49415877,0.29307076,0.17098473,0.080841,0.08921554,0.14561276,0.1289438,0.17413409,0.11264655,0.14207977
0.24138534,0.23959953,0.22514638,0.17071246,0.2843199,0.22454649,0.12538628,0.24055977,0.1750294,0.27929297,0.42737386,0.28531036,0.1816571,0.098928496,0.117913716,0.15643127,0.117608234,0.15763253,0.10417974,0.14698616
0.23767312,0.26587975,0.22481786,0.16039701,0.27898103,0.25701168,0.16675495,0.25071016,0.18096791,0.21519694,0.34427315,0.2679746,0.19497414,0.12548359,0.16570744,0.1698715,0.10740381,0.13642803,0.098446585,0.15104677
0.23072387,0.29185125,0.2016218,0.14536421,0.27178234,0.2774053,0.22108907,0.2681563,0.19123793,0.16032957,0.24781655,0.24601492,0.20616643,0.15439917,0.22731943,0.18514214,0.10008943,0.11601471,0.10215315,0.15532243
0.22444887,0.30264488,0.17181215,0.12990774,0.26333976,0.2800238,0.26544356,0.2878369,0.20307252,0.1337039,0.17310469,0.22634181,0.21302965,0.18003549,0.27379617,0.19610861,0.09610918,0.10359192,0.11584343,0.15980494
0.22301368,0.30668122,0.16482075,0.11888657,0.25462064,0.2673111,0.28056312,0.3022184,0.21358022,0.12993331,0.14256963,0.21763478,0.21535586,0.19656858,0.28177524,0.19775137,0.09342958,0.099505804,0.13027126,0.16350888
0.21591471,0.31333685,0.1625146,0.111274585,0.24990559,0.24998216,0.28446895,0.30920416,0.22347157,0.13479239,0.1385008,0.2200612,0.21759474,0.20373283,0.27214077,0.19194685,0.09311339,0.09815579,0.14237487,0.16751322
0.20884123,0.3150707,0.16044606,0.1062881,0.2462631,0.2375466,0.28872803,0.31028652,0.23185444,0.1435158,0.13867174,0.22698139,0.21930687,0.20676419,0.25973308,0.18441541,0.09373436,0.09710274,0.15242109,0.17202857
0.20379232,0.31411523,0.1602446,0.10240641,0.24157184,0.22933973,0.29437155,0.30867484,0.23892987,0.15132274,0.13660873,0.23440988,0.22092487,0.20794627,0.24844342,0.18025479,0.09478109,0.097276025,0.1603317,0.17425409
0.19933671,0.3112338,0.16174166,0.101585105,0.236383,0.22348624,0.29970765,0.30630597,0.24515244,0.15864217,0.1318124,0.23931588,0.22318506,0.20820257,0.23945634,0.18034984,0.09594279,0.09843523,0.16728196,0.17244321
0.1932601,0.30534583,0.17853445,0.1033616,0.23305374,0.21929303,0.29749614,0.3047949,0.25110874,0.16641484,0.12402997,0.2429164,0.22552426,0.2077354,0.22850351,0.18274145,0.09705314,0.10121091,0.17143595,0.16618565
0.19265035,0.29439917,0.19109203,0.10390526,0.23127228,0.21729414,0.2933829,0.30496216,0.2542856,0.17536543,0.117128104,0.24677102,0.22406535,0.20628789,0.21996875,0.18442278,0.0977264,0.10665337,0.1784282,0.15993877
0.19817148,0.29165575,0.1937251,0.11592914,0.23130478,0.21443506,0.29014823,0.30026418,0.2539146,0.18025047,0.111289546,0.24730039,0.21796067,0.20011665,0.21410356,0.18063404,0.09864849,0.113542065,0.19073357,0.15587224
0.19945502,0.2756226,0.19163536,0.11556087,0.23542552,0.21728884,0.28710553,0.29701927,0.25199383,0.18540992,0.10581105,0.2495507,0.21148033,0.19570065,0.20852527,0.17706268,0.101645276,0.125978,0.2069228,0.1608065
0.21133308,0.25552928,0.188645,0.1104252,0.23788935,0.22212838,0.2836276,0.29239747,0.24280646,0.19028483,0.10211606,0.2509466,0.20300062,0.19009651,0.20167165,0.17420189,0.104970485,0.14196101,0.22393969,0.17202884
0.21915947,0.23527603,0.18592274,0.10822671,0.24317126,0.22685876,0.27971467,0.2852807,0.22928944,0.19549817,0.10270565,0.24975966,0.19827174,0.18230894,0.1931618,0.17169881,0.110108085,0.16005811,0.23849513,0.18503413
0.21351445,0.23263595,0.18298054,0.10954357,0.25521967,0.22654767,0.27626306,0.27733794,0.21361414,0.19724426,0.10829094,0.24613443,0.20044236,0.16907492,0.18397069,0.170124,0.11720938,0.17449722,0.24849477,0.19686007
0.21710433,0.22988765,0.18519086,0.112808354,0.26724446,0.2273664,0.27220356,0.270649,0.19054037,0.19958864,0.11598108,0.2396212,0.20343442,0.15689136,0.17498815,0.17037398,0.12167642,0.18626593,0.25163633,0.20654748
0.23168351,0.22746134,0.19398758,0.11970294,0.27646387,0.23013613,0.26761764,0.26530108,0.16410495,0.20142524,0.12172771,0.22927144,0.20513624,0.14751557,0.16814618,0.17285094,0.12261145,0.19346175,0.2485209,0.21287361
0.23786615,0.22467628,0.2026512,0.13080688,0.2860495,0.23444323,0.26453245,0.26101547,0.14391127,0.20235096,0.123696715,0.21571046,0.20852606,0.14221725,0.16597086,0.17777418,0.123647034,0.19631226,0.24314877,0.214693
0.23813058,0.22100747,0.20724273,0.14001107,0.29267192,0.23841588,0.2634072,0.25943708,0.13197678,0.20139726,0.12252897,0.2022694,0.21198285,0.14143199,0.16883434,0.18547072,0.12523784,0.19774741,0.23798677,0.21281172
0.2373857,0.2185263,0.21340299,0.14153482,0.29419374,0.23869976,0.26179767,0.2624197,0.1267893,0.19702357,0.118471876,0.19050881,0.21450216,0.14502792,0.17365894,0.19582401,0.12712911,0.20072246,0.23266852,0.20971264
0.2407034,0.21833949,0.21990311,0.14394584,0.29088274,0.23329559,0.25962484,0.26725253,0.124483414,0.19032834,0.11404629,0.17730488,0.21574493,0.1520659,0.17830577,0.20554039,0.12818553,0.20597066,0.22811997,0.20595637
0.23657353,0.21735907,0.22577314,0.14720435,0.2897436,0.22427332,0.25726274,0.2727062,0.12445971,0.18500419,0.111394584,0.16184907,0.21965699,0.16138272,0.18129298,0.21345066,0.12956618,0.21198069,0.22427654,0.20478971
0.22976445,0.20558347,0.23042254,0.15071528,0.2890204,0.21755616,0.2548762,0.27652812,0.12576422,0.18673098,0.11146563,0.1456588,0.22462107,0.17217012,0.18256441,0.21923444,0.13082987,0.21795928,0.22067124,0.20786335
0.22989288,0.19654366,0.23383789,0.1538597,0.28394848,0.21265852,0.2522682,0.27737737,0.12637097,0.19433941,0.1149277,0.13192709,0.22757466,0.17898446,0.18307424,0.2228387,0.13221301,0.21747395,0.21589199,0.21399713
0.23107442,0.1904984,0.22799294,0.15534076,0.2764918,0.21128668,0.25222695,0.27660346,0.12548514,0.20665547,0.12295762,0.12330399,0.2308159,0.18118417,0.18630323,0.224725,0.13613275,0.21037528,0.21051928,0.22002679
0.22853085,0.191028,0.20845711,0.15451466,0.27006066,0.21202222,0.25626677,0.277199,0.122771665,0.21956643,0.13719776,0.12099458,0.23596148,0.17935395,0.1952489,0.22462091,0.14267534,0.1980294,0.20282945,0.22267085
0.22623925,0.20108572,0.23917033,0.1512611,0.26500428,0.21289966,0.24408999,0.2816292,0.118671104,0.22803399,0.14588338,0.12537445,0.24115409,0.17540318,0.19561528,0.22188999,0.1489313,0.18257746,0.17524102,0.21984527
0.22955813,0.21301083,0.27214345,0.14975733,0.26050693,0.2144821,0.23097959,0.28876838,0.114674866,0.2325759,0.15412423,0.1367508,0.24372812,0.17314835,0.19978042,0.21476744,0.15153196,0.16678284,0.14297232,0.20995604
