Alpha - Location 1,Alpha - Location 2,Alpha - Location 3,Alpha - Location 4,Beta - Location 1,Beta - Location 2,Beta - Location 3,Beta - Location 4,Delta - Location 1,Delta - Location 2,Delta - Location 3,Delta - Location 4,Gamma - Location 1,Gamma - Location 2,Gamma - Location 3,Gamma - Location 4,Theta - Location 1,Theta - Location 2,Theta - Location 3,Theta - Location 4
0.260414,0.29028893,0.04045329,0.27776596,0.1073652,0.2901717,0.102764346,0.11990877,0.21986131,0.15237194,0.53354603,0.23961444,0.046432752,0.14123888,0.1178219,0.10862649,0.36592674,0.12592854,0.20541444,0.25408435
0.2501979,0.29028893,0.04045329,0.2749787,0.11222672,0.2901717,0.102764346,0.1255401,0.21488714,0.15237194,0.53354603,0.23378304,0.043635726,0.14123888,0.1178219,0.101933606,0.37905255,0.12592854,0.20541444,0.26376456
0.22923627,0.29028893,0.04045329,0.26672816,0.1179036,0.2901717,0.102764346,0.1335877,0.21013474,0.15237194,0.53354603,0.22685505,0.039235998,0.14123888,0.1178219,0.087509245,0.40348938,0.12592854,0.20541444,0.28531983
0.22923627,0.29028893,0.04045329,0.26672816,0.1179036,0.2901717,0.102764346,0.1335877,0.21013474,0.15237194,0.53354603,0.22685505,0.039235998,0.14123888,0.1178219,0.087509245,0.40348938,0.12592854,0.20541444,0.28531983
0.22923627,0.29028893,0.04045329,0.26672816,0.1179036,0.2901717,0.102764346,0.1335877,0.21013474,0.15237194,0.53354603,0.22685505,0.039235998,0.14123888,0.1178219,0.087509245,0.40348938,0.12592854,0.20541444,0.28531983
0.22923627,0.29028893,0.04045329,0.26672816,0.1179036,0.2901717,0.102764346,0.1335877,0.21013474,0.15237194,0.53354603,0.22685505,0.039235998,0.14123888,0.1178219,0.087509245,0.40348938,0.12592854,0.20541444,0.28531983
0.22923627,0.29028893,0.04045329,0.26672816,0.1179036,0.2901717,0.102764346,0.1335877,0.21013474,0.15237194,0.53354603,0.22685505,0.039235998,0.14123888,0.1178219,0.087509245,0.40348938,0.12592854,0.20541444,0.28531983
0.22923627,0.29028893,0.04045329,0.26672816,0.1179036,0.2901717,0.102764346,0.1335877,0.21013474,0.15237194,0.53354603,0.22685505,0.039235998,0.14123888,0.1178219,0.087509245,0.40348938,0.12592854,0.20541444,0.28531983
0.22923627,0.29028893,0.04045329,0.26672816,0.1179036,0.2901717,0.102764346,0.1335877,0.21013474,0.15237194,0.53354603,0.22685505,0.039235998,0.14123888,0.1178219,0.087509245,0.40348938,0.12592854,0.20541444,0.28531983
0.22923627,0.29028893,0.04045329,0.26672816,0.1179036,0.2901717,0.102764346,0.1335877,0.21013474,0.15237194,0.53354603,0.22685505,0.039235998,0.14123888,0.1178219,0.087509245,0.40348938,0.12592854,0.20541444,0.28531983
0.22923627,0.29028893,0.04045329,0.26672816,0.1179036,0.2901717,0.102764346,0.1335877,0.21013474,0.15237194,0.53354603,0.22685505,0.039235998,0.14123888,0.1178219,0.087509245,0.40348938,0.12592854,0.20541444,0.28531983
0.22923627,0.29028893,0.04045329,0.26672816,0.1179036,0.2901717,0.102764346,0.1335877,0.21013474,0.15237194,0.53354603,0.22685505,0.039235998,0.14123888,0.1178219,0.087509245,0.40348938,0.12592854,0.20541444,0.28531983
0.22923627,0.29028893,0.04045329,0.26672816,0.1179036,0.2901717,0.102764346,0.1335877,0.21013474,0.15237194,0.53354603,0.22685505,0.039235998,0.14123888,0.1178219,0.087509245,0.40348938,0.12592854,0.20541444,0.28531983
0.22923627,0.29028893,0.04045329,0.26672816,0.1179036,0.2901717,0.102764346,0.1335877,0.21013474,0.15237194,0.53354603,0.22685505,0.039235998,0.14123888,0.1178219,0.087509245,0.40348938,0.12592854,0.20541444,0.28531983
0.22923627,0.29028893,0.10185881,0.26672816,0.1179036,0.2901717,0.098998435,0.1335877,0.21013474,0.15237194,0.43377963,0.22685505,0.039235998,0.14123888,0.09113852,0.087509245,0.40348938,0.12592854,0.2742246,0.28531983
0.22923627,0.29028893,0.10229295,0.26672816,0.1179036,0.2901717,0.09024963,0.1335877,0.21013474,0.15237194,0.48297057,0.22685505,0.039235998,0.14123888,0.08346039,0.087509245,0.40348938,0.12592854,0.24102648,0.28531983
0.21362732,0.29028893,0.097010456,0.38740587,0.20561258,0.2901717,0.079214886,0.24150144,0.39780122,0.15237194,0.54666436,0.12598227,0.10124262,0.14123888,0.07563214,0.1695133,0.081716254,0.12592854,0.20147817,0.07559713
0.21438468,0.29028893,0.08938806,0.40095088,0.19027153,0.2901717,0.068112314,0.22385824,0.39912456,0.15237194,0.60531867,0.12393435,0.090839125,0.14123888,0.06975679,0.1657444,0.1053801,0.12592854,0.16742417,0.08551215
0.22020416,0.29028893,0.084339105,0.40627813,0.16637841,0.2901717,0.05844068,0.20876324,0.39659047,0.15237194,0.6477278,0.12834948,0.07511319,0.14123888,0.065971576,0.1551677,0.14171375,0.12592854,0.14352085,0.10144143
0.21835741,0.29028893,0.07874188,0.40793648,0.14181961,0.2901717,0.050452586,0.19675042,0.4049659,0.15237194,0.67775404,0.13979259,0.059799183,0.14123888,0.06316562,0.138271,0.17505787,0.12592854,0.12988585,0.11724949
0.20563926,0.29028893,0.076045774,0.39976582,0.12269485,0.2901717,0.04376047,0.18941979,0.42517692,0.15237194,0.6988269,0.15726554,0.04794373,0.14123888,0.059478294,0.12194338,0.19854526,0.12592854,0.12188857,0.13160546
0.18480349,0.29028893,0.07398545,0.38352594,0.11038141,0.2901717,0.03899004,0.18393885,0.45455685,0.15237194,0.716961,0.18194738,0.040003926,0.14123888,0.054838076,0.10974425,0.21025433,0.12592854,0.1152254,0.1408436
0.18480349,0.29028893,0.06875652,0.38352594,0.11038141,0.2901717,0.036493916,0.18393885,0.45455685,0.15237194,0.7356973,0.18194738,0.040003926,0.14123888,0.050242577,0.10974425,0.21025433,0.12592854,0.10880964,0.1408436
0.18480349,0.29028893,0.06491792,0.38352594,0.11038141,0.2901717,0.035660356,0.18393885,0.45455685,0.15237194,0.7518253,0.18194738,0.040003926,0.14123888,0.0462186,0.10974425,0.21025433,0.12592854,0.10137785,0.1408436
0.18480349,0.29028893,0.06252424,0.38352594,0.11038141,0.2901717,0.035819814,0.18393885,0.45455685,0.15237194,0.7640858,0.18194738,0.040003926,0.14123888,0.04338478,0.10974425,0.21025433,0.12592854,0.09418532,0.1408436
0.18480349,0.29028893,0.061453924,0.38352594,0.11038141,0.2901717,0.03652489,0.18393885,0.45455685,0.15237194,0.77165544,0.18194738,0.040003926,0.14123888,0.041984335,0.10974425,0.21025433,0.12592854,0.0883814,0.1408436
0.18480349,0.29028893,0.05813603,0.38352594,0.11038141,0.2901717,0.033500485,0.18393885,0.45455685,0.15237194,0.79028225,0.18194738,0.040003926,0.14123888,0.039468434,0.10974425,0.21025433,0.12592854,0.07861281,0.1408436
0.18480349,0.29028893,0.053005632,0.38352594,0.11038141,0.2901717,0.030945811,0.18393885,0.45455685,0.15237194,0.80846244,0.18194738,0.040003926,0.14123888,0.037398648,0.10974425,0.21025433,0.12592854,0.07018745,0.1408436
0.1659371,0.29028893,0.044072654,0.36572573,0.10606211,0.2901717,0.028956238,0.18576214,0.46799895,0.15237194,0.8266662,0.18849646,0.037511926,0.14123888,0.03596986,0.10973668,0.22248992,0.12592854,0.06433506,0.150279
0.15297455,0.29028893,0.03500277,0.34433767,0.10289277,0.2901717,0.02738177,0.1869189,0.47794005,0.15237194,0.841792,0.19889137,0.03497109,0.14123888,0.035073277,0.109661534,0.23122154,0.12592854,0.060750198,0.16019051
0.13830794,0.29028893,0.027914084,0.32274264,0.100675575,0.2901717,0.026270676,0.18740268,0.48778117,0.15237194,0.8525434,0.21143152,0.03254966,0.14123888,0.034435287,0.10806489,0.24068564,0.12592854,0.05883652,0.17035826
0.1232024,0.29028893,0.025419679,0.30087292,0.097750865,0.2901717,0.025593586,0.18848522,0.49751234,0.15237194,0.856063,0.2251207,0.02977271,0.14123888,0.03373513,0.103747204,0.25176167,0.12592854,0.0591886,0.18177398
0.108845256,0.29028893,0.024368834,0.2774463,0.09281208,0.2901717,0.025482109,0.19109727,0.5098393,0.15237194,0.85693246,0.24195677,0.026371492,0.14123888,0.032553002,0.0965446,0.26213187,0.12592854,0.06066362,0.19295506
0.108845256,0.29028893,0.023243424,0.2774463,0.09281208,0.2901717,0.026002781,0.19109727,0.5098393,0.15237194,0.85842,0.24195677,0.026371492,0.14123888,0.030523628,0.0965446,0.26213187,0.12592854,0.06181015,0.19295506
0.108845256,0.29028893,0.022328202,0.2774463,0.09281208,0.2901717,0.02737993,0.19109727,0.5098393,0.15237194,0.8620463,0.24195677,0.026371492,0.14123888,0.027693769,0.0965446,0.26213187,0.12592854,0.06055181,0.19295506
0.108845256,0.29028893,0.021506025,0.2774463,0.09281208,0.2901717,0.029891375,0.19109727,0.5098393,0.15237194,0.86833024,0.24195677,0.026371492,0.14123888,0.024730017,0.0965446,0.26213187,0.12592854,0.055542357,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
0.108845256,0.29028893,0.02044892,0.2774463,0.09281208,0.2901717,0.033430867,0.19109727,0.5098393,0.15237194,0.87587285,0.24195677,0.026371492,0.14123888,0.022513485,0.0965446,0.26213187,0.12592854,0.047733884,0.19295506
