Alpha - Location 1,Alpha - Location 2,Alpha - Location 3,Alpha - Location 4,Beta - Location 1,Beta - Location 2,Beta - Location 3,Beta - Location 4,Delta - Location 1,Delta - Location 2,Delta - Location 3,Delta - Location 4,Gamma - Location 1,Gamma - Location 2,Gamma - Location 3,Gamma - Location 4,Theta - Location 1,Theta - Location 2,Theta - Location 3,Theta - Location 4
0.20662448,0.17811254,0.14673094,0.25865823,0.18623072,0.21882223,0.31430417,0.15922567,0.32709035,0.33951873,0.20508587,0.3872313,0.10307571,0.20598164,0.24764858,0.04868095,0.17697874,0.05756488,0.08623043,0.14620386
0.20252419,0.19204819,0.15069918,0.287317,0.20443071,0.22187491,0.31480432,0.18497305,0.26441872,0.30997005,0.20543939,0.3145187,0.11984479,0.22001986,0.25361478,0.05625106,0.20878159,0.05608698,0.075442314,0.15694022
0.20508419,0.20442374,0.15167287,0.29496902,0.21581559,0.22270648,0.31680265,0.21482483,0.21457896,0.2837683,0.20100011,0.2487569,0.1333908,0.23146479,0.26452768,0.066362455,0.23113048,0.057636697,0.06599671,0.1750868
0.20525184,0.20507362,0.15524937,0.29734334,0.22147956,0.22649519,0.31888843,0.23525485,0.19079743,0.26375735,0.19007914,0.20239928,0.14177524,0.24388772,0.27717638,0.07430996,0.24069592,0.06078611,0.058606677,0.19069257
0.20240198,0.20445205,0.15699708,0.29170123,0.22335936,0.23158686,0.321726,0.2420773,0.18751422,0.24684809,0.17680128,0.18622375,0.14448613,0.25494316,0.29008898,0.07782467,0.2422383,0.06216982,0.054386664,0.20217304
0.1999656,0.20361234,0.15798254,0.273996,0.22261624,0.23549443,0.32284248,0.24218395,0.19196947,0.23729312,0.16606288,0.19108795,0.14248101,0.2615377,0.29993844,0.07866853,0.24296768,0.062062375,0.053173665,0.21406358
0.19676337,0.20724219,0.15785685,0.26172537,0.22120303,0.23363744,0.32123342,0.23790371,0.19766787,0.23797385,0.16089499,0.19857877,0.13814846,0.25916868,0.30582666,0.07754007,0.24621728,0.061977856,0.054188054,0.22425207
0.19284666,0.21537997,0.15848488,0.2525611,0.21953766,0.22540684,0.31710666,0.23375826,0.20431446,0.24866633,0.16029373,0.20427391,0.13356318,0.24722606,0.3071205,0.07641245,0.24973804,0.0633208,0.05699421,0.2329943
0.18887086,0.21747778,0.16275853,0.24424382,0.21596292,0.21734102,0.3105144,0.22806847,0.2120149,0.2649669,0.16277182,0.21111828,0.12856726,0.23397218,0.30383497,0.07485013,0.25458407,0.066242106,0.060120292,0.24171929
0.1820685,0.21742727,0.17191197,0.23409535,0.20701058,0.21125501,0.3016335,0.21435238,0.22725967,0.27932724,0.16627283,0.23163112,0.12192387,0.2227586,0.29724905,0.07093474,0.26173738,0.06923188,0.062932625,0.24898642
0.17433397,0.21665238,0.18120617,0.222596,0.18982641,0.20781095,0.29240164,0.18907715,0.25474328,0.2893694,0.17031752,0.27415,0.11202646,0.21471198,0.29032174,0.06356914,0.26906985,0.071455285,0.06575293,0.2506077
0.15888463,0.21513498,0.19037677,0.202762,0.16922374,0.20628893,0.28208256,0.16056995,0.2955084,0.2967372,0.1743778,0.33332485,0.10096762,0.2087221,0.2832245,0.0552619,0.27541557,0.07311679,0.069938384,0.24808131
0.15334846,0.21404359,0.19448286,0.19055226,0.14794618,0.20587955,0.27234498,0.13432267,0.3357179,0.30336288,0.18028785,0.38790324,0.089321025,0.20263676,0.2766192,0.047581844,0.27366647,0.074077204,0.076265134,0.23963995
0.15887506,0.21510182,0.19328924,0.1778894,0.13066827,0.20595196,0.26422024,0.11573103,0.36707535,0.30919018,0.18763125,0.43289366,0.07903772,0.19526242,0.2697704,0.042400867,0.2643436,0.074493624,0.08508887,0.23108505
0.17050503,0.217085,0.19375417,0.16720746,0.11927025,0.2069612,0.25741628,0.10371559,0.38814774,0.31391093,0.1933329,0.46639922,0.07072622,0.18728311,0.2612762,0.03957002,0.25135073,0.07475975,0.094220445,0.22310771
0.17873819,0.21883543,0.18992288,0.15105256,0.11388001,0.2081896,0.25422055,0.09727866,0.4034513,0.3167863,0.19765425,0.49429074,0.06430605,0.18011166,0.2554956,0.038899373,0.23962444,0.07607703,0.10270672,0.21847865
0.1827836,0.21846677,0.17731717,0.13598824,0.1129317,0.20857227,0.2531441,0.09414903,0.41477457,0.31789288,0.20417692,0.5146457,0.058986876,0.17622411,0.25545314,0.039389513,0.23052326,0.078843966,0.109908685,0.21582748
