Alpha - Location 1,Alpha - Location 2,Alpha - Location 3,Alpha - Location 4,Beta - Location 1,Beta - Location 2,Beta - Location 3,Beta - Location 4,Delta - Location 1,Delta - Location 2,Delta - Location 3,Delta - Location 4,Gamma - Location 1,Gamma - Location 2,Gamma - Location 3,Gamma - Location 4,Theta - Location 1,Theta - Location 2,Theta - Location 3,Theta - Location 4
0.21261258,0.05514404,0.10574275,0.17149684,0.11722207,0.12604329,0.133392,0.09317757,0.3962425,0.51274014,0.49414763,0.5020963,0.07320453,0.18172108,0.07888983,0.0356044,0.20071831,0.12435144,0.18782778,0.19762488
0.2190089,0.0538136,0.10432289,0.1378929,0.12914982,0.1181658,0.13486293,0.10541631,0.36922023,0.53410316,0.49398795,0.53018504,0.09097607,0.1678486,0.0712087,0.04481145,0.191645,0.12606883,0.19561754,0.18169428
0.2048053,0.05334904,0.10746122,0.10202375,0.15365507,0.114744775,0.13883208,0.1153127,0.33724457,0.5428819,0.4826291,0.5576874,0.11806153,0.16230488,0.06776273,0.05608455,0.18623354,0.12671942,0.20331489,0.1688916
0.21665122,0.054001242,0.11255543,0.07741081,0.17748442,0.11366257,0.14612128,0.11906824,0.2950152,0.54389846,0.46095657,0.5730923,0.14450474,0.16214682,0.0686174,0.06721859,0.16634443,0.12629087,0.2117493,0.16321006
0.21665122,0.05505871,0.12080778,0.07741081,0.17748442,0.113254555,0.1565153,0.11906824,0.2950152,0.5416936,0.4313619,0.5730923,0.14450474,0.16462263,0.072044894,0.06721859,0.16634443,0.1253705,0.21927011,0.16321006
0.21665122,0.05590899,0.13021936,0.07741081,0.17748442,0.112525046,0.1685727,0.11906824,0.2950152,0.53941786,0.39861634,0.5730923,0.14450474,0.16761291,0.075998075,0.06721859,0.16634443,0.12453521,0.22659351,0.16321006
0.21665122,0.05507227,0.13694084,0.07741081,0.17748442,0.11144974,0.17983218,0.11906824,0.2950152,0.53938675,0.37033755,0.5730923,0.14450474,0.1696855,0.0795421,0.06721859,0.16634443,0.12440577,0.23334736,0.16321006
0.21665122,0.05358134,0.14377044,0.07741081,0.17748442,0.11054893,0.18682401,0.11906824,0.2950152,0.5404995,0.34952518,0.5730923,0.14450474,0.17033829,0.08301856,0.06721859,0.16634443,0.12503193,0.2368618,0.16321006
0.21665122,0.04654875,0.14737478,0.07741081,0.17748442,0.11224998,0.1906535,0.11906824,0.2950152,0.5429873,0.33632463,0.5730923,0.14450474,0.17114648,0.088410705,0.06721859,0.16634443,0.12706752,0.23723638,0.16321006
0.21665122,0.038595118,0.14520961,0.07741081,0.17748442,0.11731378,0.19393457,0.11906824,0.2950152,0.5427526,0.33060285,0.5730923,0.14450474,0.1725798,0.0961953,0.06721859,0.16634443,0.12875871,0.23405766,0.16321006
0.113731645,0.038582105,0.1399724,0.11215358,0.078683116,0.12513748,0.19858079,0.035787616,0.5057248,0.5330246,0.32851416,0.5693998,0.04374297,0.17574771,0.10506927,0.017741619,0.2581175,0.1275081,0.22786337,0.2649174
0.113731645,0.04305065,0.13723737,0.11215358,0.078683116,0.13623682,0.20517881,0.035787616,0.5057248,0.51317513,0.32519168,0.5693998,0.04374297,0.18489693,0.11363833,0.017741619,0.2581175,0.12264047,0.21875383,0.2649174
0.113731645,0.04749947,0.1380874,0.11215358,0.078683116,0.15258653,0.21396504,0.035787616,0.5057248,0.47960338,0.31702152,0.5693998,0.04374297,0.20489259,0.12225583,0.017741619,0.2581175,0.11541801,0.2086702,0.2649174
0.113731645,0.05532631,0.14109473,0.11215358,0.078683116,0.17481154,0.22388813,0.035787616,0.5057248,0.42433757,0.3035726,0.5693998,0.04374297,0.23738274,0.13171178,0.017741619,0.2581175,0.108141825,0.19973277,0.2649174
0.113731645,0.06570821,0.14848182,0.11215358,0.078683116,0.19916058,0.23088722,0.035787616,0.5057248,0.35184118,0.28724542,0.5693998,0.04374297,0.27695456,0.14097121,0.017741619,0.2581175,0.10633545,0.19241433,0.2649174
0.113731645,0.07298831,0.14586507,0.11215358,0.078683116,0.21334115,0.2349081,0.035787616,0.5057248,0.29155204,0.27841857,0.5693998,0.04374297,0.30450943,0.14954871,0.017741619,0.2581175,0.1176091,0.19125953,0.2649174
