Alpha - Location 1,Alpha - Location 2,Alpha - Location 3,Alpha - Location 4,Beta - Location 1,Beta - Location 2,Beta - Location 3,Beta - Location 4,Delta - Location 1,Delta - Location 2,Delta - Location 3,Delta - Location 4,Gamma - Location 1,Gamma - Location 2,Gamma - Location 3,Gamma - Location 4,Theta - Location 1,Theta - Location 2,Theta - Location 3,Theta - Location 4
0.10111594,0.13001911,0.14848518,0.08844199,0.13344388,0.28608137,0.37899113,0.1898512,0.56582063,0.25272295,0.2392637,0.44012758,0.07486676,0.20419174,0.19946195,0.14019386,0.124752775,0.12698482,0.03379806,0.14138536
0.10540033,0.13877563,0.14371602,0.09072732,0.13786146,0.32514986,0.4062181,0.19906369,0.5530866,0.20657927,0.20385939,0.4147299,0.07986123,0.2262797,0.20884073,0.15391967,0.12379041,0.10321552,0.03736576,0.14155944
0.11155905,0.14048634,0.13721101,0.09491532,0.14152987,0.35974637,0.43826443,0.20781393,0.5396096,0.16833402,0.16731097,0.38987088,0.084518805,0.2476843,0.2147018,0.16562957,0.122782625,0.08374898,0.042511787,0.14177029
0.1206664,0.14965649,0.12860377,0.102280796,0.14509077,0.3756969,0.4659954,0.21516767,0.5256385,0.14020982,0.137983,0.3683024,0.087581545,0.26241297,0.2159094,0.17295592,0.12102275,0.07202383,0.051508423,0.14129321
0.1338151,0.16768473,0.10798211,0.11185678,0.14903599,0.3695757,0.48160335,0.22190407,0.5096096,0.12686765,0.12910295,0.3513485,0.08911742,0.26857257,0.21432704,0.17492945,0.1184219,0.06729935,0.06698454,0.13996121
0.14819507,0.1928802,0.091914214,0.12771668,0.15363707,0.3456862,0.46937823,0.22741267,0.4922241,0.13117015,0.14590923,0.33671105,0.09007211,0.2645546,0.20608704,0.17110376,0.11587166,0.06570885,0.08671129,0.13705584
0.15802355,0.19756535,0.087452,0.13652816,0.15902922,0.32268682,0.4341014,0.23476481,0.4769219,0.15353611,0.18130815,0.3286562,0.09143082,0.2587206,0.19271378,0.16566026,0.11459453,0.06749113,0.10442467,0.13439056
0.1625151,0.18754883,0.082965344,0.13837759,0.17601658,0.3063221,0.3983322,0.24386398,0.45239037,0.18300094,0.21997933,0.3250371,0.093694404,0.2526183,0.18194455,0.16078177,0.11538353,0.070509814,0.11677858,0.13193958
0.16508907,0.18164773,0.07932588,0.13242836,0.18609564,0.2956781,0.37173882,0.25562766,0.43832263,0.20488286,0.24869771,0.3177125,0.09300083,0.24512722,0.17767075,0.16055512,0.11749181,0.072664075,0.12256683,0.1336764
0.16534013,0.1765915,0.07660526,0.13106494,0.19104162,0.29355076,0.3558428,0.26426324,0.42836064,0.21511693,0.26220188,0.31217736,0.09129122,0.24134403,0.18197027,0.15952271,0.123966366,0.07339676,0.12337979,0.13297176
0.16574807,0.1718762,0.074666075,0.12935026,0.19341932,0.29664627,0.34703177,0.27364108,0.41526043,0.21598169,0.2631585,0.30432215,0.09019289,0.2433438,0.19375013,0.16058435,0.13537927,0.072152056,0.121393524,0.13210216
0.16908538,0.16712211,0.07316975,0.12953492,0.19513406,0.30100015,0.34152183,0.28456518,0.39273748,0.21179916,0.2580146,0.28990325,0.09110447,0.25093657,0.20898464,0.16364084,0.15193862,0.06914201,0.1183092,0.1323558
0.17815098,0.16256595,0.07366986,0.13018505,0.19699483,0.30398822,0.33759472,0.29816023,0.35719484,0.20637658,0.25166443,0.26985252,0.094919086,0.26204047,0.2219919,0.16817418,0.17274025,0.065028764,0.1150791,0.13362803
0.18436685,0.15872511,0.07767276,0.133452,0.20092821,0.3049544,0.33516556,0.31272712,0.31477523,0.20165537,0.24647324,0.24724586,0.102374986,0.27378112,0.22880371,0.1722068,0.19755472,0.060884003,0.11188471,0.1343682
